time,x_over_s,x,interface_position,temperature
0.01,0,0.0,0.1240125266627191,1.0
0.01,0.125,0.015501565832839887,0.1240125266627191,0.8590975039969326
0.01,0.25,0.031003131665679775,0.1240125266627191,0.7198761374656979
0.01,0.375,0.04650469749851966,0.1240125266627191,0.5839570957674092
0.01,0.5,0.06200626333135955,0.1240125266627191,0.4528452531059012
0.01,0.625,0.07750782916419943,0.1240125266627191,0.3278795768779471
0.01,0.75,0.09300939499703932,0.1240125266627191,0.21019304322805754
0.01,0.875,0.10851096082987921,0.1240125266627191,0.10068399519343674
0.01,1.0,0.1240125266627191,0.1240125266627191,0.0
0.1,0,0.0,0.3921620426465521,1.0
0.1,0.125,0.04902025533081901,0.3921620426465521,0.8590975039969326
0.1,0.25,0.09804051066163802,0.3921620426465521,0.7198761374656979
0.1,0.375,0.14706076599245704,0.3921620426465521,0.5839570957674092
0.1,0.5,0.19608102132327604,0.3921620426465521,0.4528452531059012
0.1,0.625,0.24510127665409503,0.3921620426465521,0.3278795768779471
0.1,0.75,0.2941215319849141,0.3921620426465521,0.21019304322805754
0.1,0.875,0.3431417873157331,0.3921620426465521,0.10068399519343674
0.1,1.0,0.3921620426465521,0.3921620426465521,0.0
0.4,0,0.0,0.7843240852931042,1.0
0.4,0.125,0.09804051066163802,0.7843240852931042,0.8590975039969326
0.4,0.25,0.19608102132327604,0.7843240852931042,0.7198761374656979
0.4,0.375,0.2941215319849141,0.7843240852931042,0.5839570957674092
0.4,0.5,0.3921620426465521,0.7843240852931042,0.4528452531059012
0.4,0.625,0.49020255330819007,0.7843240852931042,0.3278795768779471
0.4,0.75,0.5882430639698282,0.7843240852931042,0.21019304322805754
0.4,0.875,0.6862835746314662,0.7843240852931042,0.10068399519343674
0.4,1.0,0.7843240852931042,0.7843240852931042,0.0
1.0,0,0.0,1.240125266627191,1.0
1.0,0.125,0.15501565832839886,1.240125266627191,0.8590975039969326
1.0,0.25,0.31003131665679773,1.240125266627191,0.7198761374656979
1.0,0.375,0.4650469749851966,1.240125266627191,0.5839570957674092
1.0,0.5,0.6200626333135955,1.240125266627191,0.4528452531059012
1.0,0.625,0.7750782916419943,1.240125266627191,0.3278795768779471
1.0,0.75,0.9300939499703932,1.240125266627191,0.21019304322805754
1.0,0.875,1.085109608298792,1.240125266627191,0.10068399519343674
1.0,1.0,1.240125266627191,1.240125266627191,0.0
