thiele,geometry_factor,effectiveness
0.05,1,1.003460315400902
0.05450000000000001,1,1.0041163492559213
0.05940500000000001,1,1.004897926738814
0.06475145000000002,1,1.005829561824275
0.07057908050000003,1,1.0069407613889092
0.07693119774500003,1,1.0082671297293317
0.08385500554205004,1,1.0098517547229153
0.09140195604083455,1,1.0117469632475495
0.09962813208450967,1,1.0140165673813286
0.10859466397211555,1,1.0167387728348818
0.11836818372960596,1,1.0200099960607172
0.1290213202652705,1,1.0239499515857524
0.14063323908914485,1,1.02870855207497
0.1532902306071679,1,1.0344754559314315
0.16708635136181305,1,1.0414935840332114
0.18212412298437622,1,1.050078766823779
0.19851529405297008,1,1.060649191086952
0.2163816705177374,1,1.0737711566487895
0.2358560208643338,1,1.0902333170198848
0.25708306274212384,1,1.1111736741762146
0.28022053838891503,1,1.1383117406791514
0.3054403868439174,1,1.1744113703037704
0.33293002165987,1,1.2243198055291264
0.3628937236092583,1,1.297748436437382
0.3955541587340916,1,1.4192951128741136
0.43115403302015987,1,39.18105521723118
0.05,2,1.001840263019637
0.05450000000000001,2,1.0021879739318824
0.05940500000000001,2,1.0026017346060268
0.06475145000000002,2,1.0030942375679197
0.07057908050000003,2,1.0036806753721799
0.07693119774500003,2,1.0043792585869986
0.08385500554205004,2,1.0052118518316635
0.09140195604083455,2,1.0062047592468106
0.09962813208450967,2,1.007389700951455
0.10859466397211555,2,1.0088050362499934
0.11836818372960596,2,1.0104973095115806
0.1290213202652705,2,1.0125232237236168
0.14063323908914485,2,1.014952189433648
0.1532902306071679,2,1.0178696607759183
0.16708635136181305,2,1.0213815682217442
0.18212412298437622,2,1.0256203112676225
0.19851529405297008,2,1.0307530216692462
0.2163816705177374,2,1.0369932187278628
0.2358560208643338,2,1.0446176849201438
0.25708306274212384,2,1.0539916562545961
0.28022053838891503,2,1.065607800407005
0.3054403868439174,2,1.0801491858581274
0.33293002165987,2,1.098596524008871
0.3628937236092583,2,1.12242336986447
0.3955541587340916,2,1.1539836699106596
0.43115403302015987,2,1.1973788077125969
