record,x_or_value,film_thickness,film_reynolds
mean_h,11567.744755850035,,
mean_Nu_L,1701.1389346838287,,
profile,0.005000000000000001,3.7063075398912083e-05,7.6869759881164725
profile,0.010000000000000002,4.407567296826857e-05,12.92790110509705
profile,0.025,5.542222462607339e-05,25.702953333197218
profile,0.05,6.590850385460549e-05,43.2270426386381
profile,0.07500000000000001,7.293974957039085e-05,58.590063507602366
profile,0.1,7.837886172308112e-05,72.6989303937005
