time,x_over_delta,x,interface_position,liquid_velocity,phase,temperature
0.1,0,0.0,0.0022033868116325232,0.011010071464639323,vapor,373.15
0.1,0.5,0.0011016934058162616,0.0022033868116325232,0.011010071464639323,vapor,373.15
0.1,1.0,0.0022033868116325232,0.0022033868116325232,0.011010071464639323,vapor,373.15
0.1,1.05,0.0023135561522141493,0.0022033868116325232,0.011010071464639323,liquid,375.419180892562
0.1,1.25,0.002754233514540654,0.0022033868116325232,0.011010071464639323,liquid,378.136954444247
0.1,1.5,0.003305080217448785,0.0022033868116325232,0.011010071464639323,liquid,378.149999991059
0.1,2.0,0.0044067736232650465,0.0022033868116325232,0.011010071464639323,liquid,378.15
0.1,3.0,0.00661016043489757,0.0022033868116325232,0.011010071464639323,liquid,378.15
0.1,4.0,0.008813547246530093,0.0022033868116325232,0.011010071464639323,liquid,378.15
0.25,0,0.0,0.0034838604455675803,0.006963380605897257,vapor,373.15
0.25,0.5,0.0017419302227837902,0.0034838604455675803,0.006963380605897257,vapor,373.15
0.25,1.0,0.0034838604455675803,0.0034838604455675803,0.006963380605897257,vapor,373.15
0.25,1.05,0.0036580534678459595,0.0034838604455675803,0.006963380605897257,liquid,375.419180892562
0.25,1.25,0.004354825556959476,0.0034838604455675803,0.006963380605897257,liquid,378.136954444247
0.25,1.5,0.00522579066835137,0.0034838604455675803,0.006963380605897257,liquid,378.149999991059
0.25,2.0,0.006967720891135161,0.0034838604455675803,0.006963380605897257,liquid,378.15
0.25,3.0,0.01045158133670274,0.0034838604455675803,0.006963380605897257,liquid,378.15
0.25,4.0,0.013935441782270321,0.0034838604455675803,0.006963380605897257,liquid,378.15
0.5,0,0.0,0.004926922691536846,0.0049238536464128405,vapor,373.15
0.5,0.5,0.002463461345768423,0.004926922691536846,0.0049238536464128405,vapor,373.15
0.5,1.0,0.004926922691536846,0.004926922691536846,0.0049238536464128405,vapor,373.15
0.5,1.05,0.005173268826113689,0.004926922691536846,0.0049238536464128405,liquid,375.419180892562
0.5,1.25,0.006158653364421058,0.004926922691536846,0.0049238536464128405,liquid,378.136954444247
0.5,1.5,0.00739038403730527,0.004926922691536846,0.0049238536464128405,liquid,378.149999991059
0.5,2.0,0.009853845383073693,0.004926922691536846,0.0049238536464128405,liquid,378.15
0.5,3.0,0.01478076807461054,0.004926922691536846,0.0049238536464128405,liquid,378.15
0.5,4.0,0.019707690766147385,0.004926922691536846,0.0049238536464128405,liquid,378.15
1.0,0,0.0,0.006967720891135161,0.0034816903029486284,vapor,373.15
1.0,0.5,0.0034838604455675803,0.006967720891135161,0.0034816903029486284,vapor,373.15
1.0,1.0,0.006967720891135161,0.006967720891135161,0.0034816903029486284,vapor,373.15
1.0,1.05,0.007316106935691919,0.006967720891135161,0.0034816903029486284,liquid,375.419180892562
1.0,1.25,0.008709651113918951,0.006967720891135161,0.0034816903029486284,liquid,378.136954444247
1.0,1.5,0.01045158133670274,0.006967720891135161,0.0034816903029486284,liquid,378.149999991059
1.0,2.0,0.013935441782270321,0.006967720891135161,0.0034816903029486284,liquid,378.15
1.0,3.0,0.02090316267340548,0.006967720891135161,0.0034816903029486284,liquid,378.15
1.0,4.0,0.027870883564540642,0.006967720891135161,0.0034816903029486284,liquid,378.15
