peclet,effective_diffusivity
0.0,1.0
0.05,1.0000119047619047
0.1,1.000047619047619
0.15000000000000002,1.0001071428571429
0.2,1.0001904761904763
0.25,1.0002976190476192
0.30000000000000004,1.0004285714285714
0.35000000000000003,1.0005833333333334
0.4,1.0007619047619047
0.45,1.0009642857142858
0.5,1.0011904761904762
0.55,1.0014404761904763
0.6000000000000001,1.0017142857142858
0.65,1.0020119047619047
0.7000000000000001,1.0023333333333333
0.75,1.0026785714285715
0.8,1.003047619047619
0.8500000000000001,1.0034404761904763
0.9,1.0038571428571428
0.9500000000000001,1.004297619047619
1.0,1.0047619047619047
1.05,1.00525
1.1,1.0057619047619049
1.1500000000000001,1.006297619047619
1.2000000000000002,1.006857142857143
1.25,1.0074404761904763
1.3,1.008047619047619
1.35,1.0086785714285715
1.4000000000000001,1.0093333333333334
1.4500000000000002,1.0100119047619047
1.5,1.0107142857142857
1.55,1.0114404761904763
1.6,1.012190476190476
1.6500000000000001,1.0129642857142858
1.7000000000000002,1.0137619047619049
1.75,1.0145833333333334
1.8,1.0154285714285713
1.85,1.016297619047619
1.9000000000000001,1.0171904761904762
1.9500000000000002,1.0181071428571429
2.0,1.019047619047619
2.0500000000000003,1.0200119047619047
2.1,1.021
2.15,1.0220119047619047
2.2,1.023047619047619
2.25,1.0241071428571429
2.3000000000000003,1.0251904761904762
2.35,1.026297619047619
2.4000000000000004,1.0274285714285714
2.45,1.0285833333333334
2.5,1.0297619047619047
2.5500000000000003,1.0309642857142858
2.6,1.032190476190476
2.6500000000000004,1.0334404761904763
2.7,1.0347142857142857
2.75,1.0360119047619047
2.8000000000000003,1.0373333333333334
2.85,1.0386785714285713
2.9000000000000004,1.040047619047619
2.95,1.041440476190476
3.0,1.042857142857143
3.0500000000000003,1.044297619047619
3.1,1.0457619047619047
3.1500000000000004,1.04725
3.2,1.0487619047619048
3.25,1.050297619047619
3.3000000000000003,1.0518571428571428
3.35,1.053440476190476
3.4000000000000004,1.055047619047619
3.45,1.0566785714285714
3.5,1.0583333333333333
3.5500000000000003,1.0600119047619048
3.6,1.0617142857142858
3.6500000000000004,1.063440476190476
3.7,1.0651904761904762
3.75,1.0669642857142858
3.8000000000000003,1.0687619047619048
3.85,1.0705833333333334
3.9000000000000004,1.0724285714285715
3.95,1.074297619047619
4.0,1.0761904761904761
4.05,1.078107142857143
4.1000000000000005,1.0800476190476191
4.15,1.0820119047619048
4.2,1.084
4.25,1.0860119047619048
4.3,1.088047619047619
4.3500000000000005,1.090107142857143
4.4,1.0921904761904762
4.45,1.094297619047619
4.5,1.0964285714285715
4.55,1.0985833333333332
4.6000000000000005,1.1007619047619048
4.65,1.1029642857142856
4.7,1.1051904761904763
4.75,1.1074404761904761
4.800000000000001,1.1097142857142857
4.8500000000000005,1.1120119047619048
4.9,1.1143333333333334
4.95,1.1166785714285714
5.0,1.119047619047619
5.050000000000001,1.1214404761904762
5.1000000000000005,1.1238571428571429
5.15,1.126297619047619
5.2,1.1287619047619049
5.25,1.13125
5.300000000000001,1.1337619047619047
5.3500000000000005,1.136297619047619
5.4,1.1388571428571428
5.45,1.1414404761904762
5.5,1.144047619047619
5.550000000000001,1.1466785714285714
5.6000000000000005,1.1493333333333333
5.65,1.1520119047619048
5.7,1.1547142857142858
5.75,1.1574404761904762
5.800000000000001,1.1601904761904762
5.8500000000000005,1.1629642857142857
5.9,1.1657619047619048
5.95,1.1685833333333333
6.0,1.1714285714285715
6.050000000000001,1.174297619047619
6.1000000000000005,1.1771904761904763
6.15,1.1801071428571428
6.2,1.1830476190476191
6.25,1.1860119047619047
6.300000000000001,1.189
6.3500000000000005,1.1920119047619049
6.4,1.1950476190476191
6.45,1.1981071428571428
6.5,1.2011904761904761
6.550000000000001,1.2042976190476191
6.6000000000000005,1.2074285714285715
6.65,1.2105833333333333
6.7,1.2137619047619048
6.75,1.2169642857142857
6.800000000000001,1.2201904761904763
6.8500000000000005,1.2234404761904762
6.9,1.2267142857142859
6.95,1.2300119047619047
7.0,1.2333333333333334
7.050000000000001,1.2366785714285715
7.1000000000000005,1.240047619047619
7.15,1.2434404761904763
7.2,1.2468571428571429
7.25,1.2502976190476192
7.300000000000001,1.2537619047619049
7.3500000000000005,1.25725
7.4,1.2607619047619048
7.45,1.264297619047619
7.5,1.2678571428571428
7.550000000000001,1.2714404761904763
7.6000000000000005,1.2750476190476192
7.65,1.2786785714285713
7.7,1.2823333333333333
7.75,1.2860119047619047
7.800000000000001,1.2897142857142858
7.8500000000000005,1.2934404761904763
7.9,1.2971904761904762
7.95,1.3009642857142858
8.0,1.3047619047619048
8.05,1.3085833333333334
8.1,1.3124285714285715
8.15,1.316297619047619
8.200000000000001,1.3201904761904764
8.25,1.324107142857143
8.3,1.3280476190476191
8.35,1.3320119047619048
8.4,1.336
8.450000000000001,1.3400119047619048
8.5,1.3440476190476192
8.55,1.348107142857143
8.6,1.3521904761904762
8.65,1.356297619047619
8.700000000000001,1.3604285714285715
8.75,1.3645833333333333
8.8,1.3687619047619048
8.85,1.3729642857142856
8.9,1.3771904761904763
8.950000000000001,1.3814404761904764
9.0,1.3857142857142857
9.05,1.3900119047619048
9.1,1.3943333333333332
9.15,1.3986785714285714
9.200000000000001,1.403047619047619
9.25,1.4074404761904762
9.3,1.411857142857143
9.35,1.416297619047619
9.4,1.420761904761905
9.450000000000001,1.4252500000000001
9.5,1.4297619047619048
9.55,1.434297619047619
9.600000000000001,1.438857142857143
9.65,1.4434404761904762
9.700000000000001,1.4480476190476192
9.75,1.4526785714285715
9.8,1.4573333333333334
9.850000000000001,1.462011904761905
9.9,1.4667142857142856
9.950000000000001,1.4714404761904762
10.0,1.4761904761904763
10.05,1.4809642857142857
10.100000000000001,1.4857619047619048
10.15,1.4905833333333334
10.200000000000001,1.4954285714285716
10.25,1.5002976190476192
10.3,1.5051904761904762
10.350000000000001,1.510107142857143
10.4,1.515047619047619
10.450000000000001,1.520011904761905
10.5,1.525
