damkohler,rotation_rate,uptake
1.0,0.0,8.982601297120521
1.0,1.0,8.982601297120521
1.0,10.0,8.982601297120521
1.0,100.0,8.982601297120521
16.0,0.0,28.114126677963416
16.0,1.0,28.114126677963416
16.0,10.0,28.114126677963416
16.0,100.0,28.114126677963416
100.0,0.0,65.90173716964422
100.0,1.0,65.90173716964422
100.0,10.0,65.90173716964422
100.0,100.0,65.90173716964422
