thiele,order,effectiveness
0.2,1.0,0.9950331057391244
0.24,1.0,0.9928684424529145
0.288,1.0,0.9897733128184897
0.34559999999999996,1.0,0.9853613054912714
0.41472,1.0,0.9790995036256038
0.4976639999999999,1.0,0.9702670707356569
0.5971967999999999,1.0,0.9579163840537332
0.7166361599999999,1.0,0.9408533908980309
0.8599633919999997,1.0,0.9176676871124952
1.0319560703999997,1.0,0.8868573245516824
1.2383472844799996,1.0,0.8470950405608814
1.4860167413759995,1.0,0.7976457422844287
1.7832200896511994,1.0,0.7388469384660112
2.139864107581439,1.0,0.6724313936664484
2.5678369290977265,1.0,0.6014236361160399
3.081404314917272,1.0,0.5295168184908503
3.6976851779007265,1.0,0.46017974154490904
4.437222213480871,1.0,0.3959489686705887
5.324666656177046,1.0,0.3382013173263394
6.3895999874124545,1.0,0.28734726050028
7.667519984894945,1.0,0.2431829145931028
9.201023981873934,1.0,0.20519130758136025
11.04122877824872,1.0,0.17273086843859345
13.249474533898463,1.0,0.14513621155774373
15.899369440678155,1.0,0.12176874003797915
0.2,2.0,0.990163483998439
0.24,2.0,0.9859361823170046
0.288,2.0,0.9799528752502616
0.34559999999999996,2.0,0.9715447818009002
0.41472,2.0,0.9598463446504214
0.4976639999999999,2.0,0.9437896984858343
0.5971967999999999,2.0,0.9221480587276911
0.7166361599999999,2.0,0.8936603891460781
0.8599633919999997,2.0,0.8572594207884555
1.0319560703999997,2.0,0.812384631839523
1.2383472844799996,2.0,0.7592938395463497
1.4860167413759995,2.0,0.6992318917542927
1.7832200896511994,2.0,0.6343362520077461
2.139864107581439,2.0,0.5672763950252088
2.5678369290977265,2.0,0.5007626806227347
3.081404314917272,2.0,0.4371132731031199
3.6976851779007265,2.0,0.3780057656800657
4.437222213480871,2.0,0.32443048815592085
5.324666656177046,2.0,0.27678467614983704
6.3895999874124545,2.0,0.23502750828851965
7.667519984894945,2.0,0.19883597064401695
9.201023981873934,2.0,0.16773142049955522
11.04122877824872,2.0,0.14116948955177405
13.249474533898463,2.0,0.11859779953060595
15.899369440678155,2.0,0.09948970050929797
0.2,3.0,0.9853876227464913
0.24,3.0,0.9791930244392223
0.288,3.0,0.9705094376900576
0.34559999999999996,3.0,0.9584678697246166
0.41472,3.0,0.9420126241395802
0.4976639999999999,3.0,0.9199572604399757
0.5971967999999999,3.0,0.8911214056871423
0.7166361599999999,3.0,0.8545606484947942
0.8599633919999997,3.0,0.8098578711995543
1.0319560703999997,3.0,0.7573843497583486
1.2383472844799996,3.0,0.6984063918674255
1.4860167413759995,3.0,0.6349555889478562
1.7832200896511994,3.0,0.569490150769568
2.139864107581439,3.0,0.5044752554450507
2.5678369290977265,3.0,0.44202940261110396
3.081404314917272,3.0,0.3837231785726743
3.6976851779007265,3.0,0.3305354197736831
4.437222213480871,3.0,0.2829200129881567
5.324666656177046,3.0,0.2409251633699499
6.3895999874124545,3.0,0.20432037611573492
7.667519984894945,3.0,0.1727062640909251
9.201023981873934,3.0,0.14559826774804474
11.04122877824872,3.0,0.12248479898611747
13.249474533898463,3.0,0.10286440849398093
15.899369440678155,3.0,0.08626744937894747
