time,eta_x_over_2sqrt_t,x,interface_position,phase,temperature
0.01,-2,-0.4,0.047938844560842964,minus,0.996303279649043
0.01,-1.5,-0.30000000000000004,0.047938844560842964,minus,0.9732135755178302
0.01,-1,-0.2,0.047938844560842964,minus,0.8756895843291216
0.01,-0.5,-0.1,0.047938844560842964,minus,0.6210606485496004
0.01,0,0.0,0.047938844560842964,minus,0.20972001066007218
0.01,0.5,0.1,0.047938844560842964,plus,-0.08682161819349149
0.01,1,0.2,0.047938844560842964,plus,-0.19646960682962084
0.01,1.5,0.30000000000000004,0.047938844560842964,plus,-0.23846526394091103
0.01,2,0.4,0.047938844560842964,plus,-0.24840812298181358
0.1,-2,-1.2649110640673518,0.1515959372090381,minus,0.996303279649043
0.1,-1.5,-0.9486832980505138,0.1515959372090381,minus,0.9732135755178302
0.1,-1,-0.6324555320336759,0.1515959372090381,minus,0.8756895843291216
0.1,-0.5,-0.31622776601683794,0.1515959372090381,minus,0.6210606485496004
0.1,0,0.0,0.1515959372090381,minus,0.20972001066007218
0.1,0.5,0.31622776601683794,0.1515959372090381,plus,-0.08682161819349149
0.1,1,0.6324555320336759,0.1515959372090381,plus,-0.19646960682962084
0.1,1.5,0.9486832980505138,0.1515959372090381,plus,-0.238465263940911
0.1,2,1.2649110640673518,0.1515959372090381,plus,-0.24840812298181358
0.4,-2,-2.5298221281347035,0.3031918744180762,minus,0.996303279649043
0.4,-1.5,-1.8973665961010275,0.3031918744180762,minus,0.9732135755178302
0.4,-1,-1.2649110640673518,0.3031918744180762,minus,0.8756895843291216
0.4,-0.5,-0.6324555320336759,0.3031918744180762,minus,0.6210606485496004
0.4,0,0.0,0.3031918744180762,minus,0.20972001066007218
0.4,0.5,0.6324555320336759,0.3031918744180762,plus,-0.08682161819349149
0.4,1,1.2649110640673518,0.3031918744180762,plus,-0.19646960682962084
0.4,1.5,1.8973665961010275,0.3031918744180762,plus,-0.238465263940911
0.4,2,2.5298221281347035,0.3031918744180762,plus,-0.24840812298181358
1.0,-2,-4.0,0.4793884456084296,minus,0.996303279649043
1.0,-1.5,-3.0,0.4793884456084296,minus,0.9732135755178302
1.0,-1,-2.0,0.4793884456084296,minus,0.8756895843291216
1.0,-0.5,-1.0,0.4793884456084296,minus,0.6210606485496004
1.0,0,0.0,0.4793884456084296,minus,0.20972001066007218
1.0,0.5,1.0,0.4793884456084296,plus,-0.08682161819349149
1.0,1,2.0,0.4793884456084296,plus,-0.19646960682962084
1.0,1.5,3.0,0.4793884456084296,plus,-0.238465263940911
1.0,2,4.0,0.4793884456084296,plus,-0.24840812298181358
