wall_damkohler,decay_rate,sherwood
0.1,0.03875186257198217,8.229442984383205
0.1615598098439874,0.0614315924347391,8.225655124991768
0.2610157215682537,0.09633467008768873,8.219300253595325
0.4216965034285822,0.14861778728210884,8.208588695967963
0.6812920690579614,0.22387662126610547,8.190657216251452
1.1006941712522098,0.32626227271261143,8.161491112482954
1.7782794100389228,0.4553698576066407,8.11683844441347
2.872984833353664,0.6033319351656536,8.054779248594205
4.641588833612779,0.7551208413642412,7.978888033178841
7.498942093324558,0.8938045780986208,7.898552267406214
12.115276586285889,1.0075858874479606,7.824661149426947
19.573417814876596,1.093006448104219,7.764379579560224
31.622776601683793,1.1530340908742374,7.7195148169590775
51.089697745069294,1.1933357569110208,7.688221100262796
82.54041852680182,1.2195934890289313,7.667321611755356
133.3521432163324,1.2363757404676825,7.6537517909606105
215.44346900318845,1.246972838598869,7.645097624898896
348.070058842841,1.2536139070194938,7.639640336687408
562.341325190349,1.2577562287522719,7.636223170480875
908.5175756516871,1.2603324297586136,7.634092832675674
1467.7992676220706,1.2619317230101612,7.632768349965771
2371.373705661655,1.2629234415524127,7.631946279048659
3831.1868495572853,1.263537976347779,7.6314365764804615
6189.65818891261,1.2639186189025935,7.631120754602908
10000.0,1.264154325810812,7.630925143792073
