x_over_width,sherwood
0.02,48.252723878196385
0.0212,47.32455576967547
0.022472000000000002,46.41424149340348
0.023820320000000002,45.52143762093999
0.025249539200000008,44.64580732988251
0.026764511552000006,43.78702027679574
0.028370382245120007,42.944752472584895
0.030072605179827214,42.11868616026652
0.03187696149061685,41.308509695090315
0.03378957918005386,40.51391742696687
0.03581695393085709,39.734609585157095
0.037965971166708516,38.970292165179536
0.040243929436711026,38.22067681789328
0.042658565202913695,37.48548074071424
0.04521807911508852,36.764426570924094
0.04793116386199383,36.05724228103139
0.05080703369371347,35.363661076145505
0.05385545571533627,34.68342129332461
0.05708678305825646,34.016266302859805
0.06051199004175185,33.36194441145802
0.06414270944425696,32.720208767287374
0.06799127201091239,32.090817266848866
0.07207074833156712,31.473532463639643
0.07639499323146116,30.868121478572988
0.08097869282534884,30.27435591212157
0.08583741439486976,29.692011758150603
0.09098765925856196,29.120869319408477
0.09644691881407567,28.56071312464299
0.10223373394292022,28.01133184731189
0.10836775797949544,27.472518225857055
0.11486982345826517,26.944068985512253
0.12176201286576109,26.425784761614988
0.12906773363770677,25.917470024393445
0.13681179765596918,25.418933005200238
0.14502050551532733,24.92998562416508
0.153721735846247,24.450443419239097
0.16294503999702178,23.980125476603998
0.17272174239684313,23.518854362419887
0.18308504694065372,23.06645605588594
0.19407014975709294,22.622759883588675
0.20571435874251853,22.187598455113104
0.21805722026706967,21.760807599892395
0.23114065348309384,21.342226305272334
0.24500909269207952,20.931696655767077
0.25970963825360427,20.52906377348339
0.2752922165488206,20.134175759690883
0.2918097495417498,19.74688363751611
0.3093183345142548,19.367041295739046
0.3278774345851101,18.994505433670643
0.34755008066021675,18.629135507090666
0.3684030854998298,18.270793675225516
0.39050727062981955,17.919344748745885
0.4139377068676087,17.57465613876478
0.4387739692796653,17.236597806816526
0.46510040743644526,16.905042215798005
0.49300643188263205,16.579864281853563
0.5225868177955899,16.260941327185396
0.5539420268633254,15.948153033771701
0.587178548475125,15.641381397975058
0.6224092613836324,15.34051068602396
