damkohler,fourier,sherwood
0.0,0.001,37.682482323055424
0.0,0.01,13.283791670955125
0.0,0.1,5.5682482323055424
0.0,1.0,3.1283791670955123
0.0,10.0,2.3568248232305544
1.0,0.001,37.718158859487296
1.0,0.01,13.396441899925941
1.0,0.1,5.919242825393569
1.0,1.0,4.100509083320024
1.0,10.0,4.00000071138905
10.0,0.001,38.03871362554268
10.0,0.01,14.393734031517287
10.0,0.1,8.642392949163675
10.0,1.0,8.32455756994646
10.0,10.0,8.32455532033676
