id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-001,D2,Fo,0.03,multigrid,8,3,32,0.03,9.0784,77,9.937e-08,1.01151490009,0.000e+00,9.05798816216,8.91950329948,1.552607e-02,,0.504984773268,0.500520341886,4.464e-03,0.000e+00
B-001,D2,Fo,0.1,multigrid,8,3,32,0.1,9.0784,223,1.015e-07,1.01151490009,0.000e+00,6.84276406054,6.82828134264,2.120990e-03,,0.228473980191,0.227691212352,7.828e-04,0.000e+00
B-001,D2,Fo,0.3,multigrid,8,3,32,0.3,9.0784,563,1.050e-07,1.01151490009,0.000e+00,6.57427897536,6.5804210798,9.333908e-04,,0.0315901951545,0.0314754648844,1.147e-04,0.000e+00
B-001,D2,Fo,0.03,multigrid,8,3,64,0.03,18.1568,184,2.079e-07,1.01145769485,0.000e+00,8.95362471503,8.91950329948,3.825484e-03,2.0210,0.501542736016,0.500520341886,1.022e-03,0.000e+00
B-001,D2,Fo,0.1,multigrid,8,3,64,0.1,18.1568,535,2.088e-07,1.01145769485,0.000e+00,6.83177862531,6.82828134264,5.121761e-04,2.0500,0.22785087755,0.227691212352,1.597e-04,0.000e+00
B-001,D2,Fo,0.3,multigrid,8,3,64,0.3,18.1568,1385,2.088e-07,1.01145769485,0.000e+00,6.57899998696,6.5804210798,2.159577e-04,2.1117,0.0314975139832,0.0314754648844,2.205e-05,0.000e+00
B-001,D2,Fo,0.03,multigrid,8,3,128,0.03,36.3136,2155,4.217e-07,1.0114243938,0.000e+00,8.9833046615,8.97465909185,9.633313e-04,1.9895,0.504715855986,0.504471705866,2.442e-04,0.000e+00
B-001,D2,Fo,0.1,multigrid,8,3,128,0.1,36.3136,6176,4.220e-07,1.0114243938,0.000e+00,6.8335427596,6.83263571645,1.327516e-04,1.9479,0.229095462823,0.229062228388,3.323e-05,0.000e+00
B-001,D2,Fo,0.3,multigrid,8,3,128,0.3,36.3136,15475,4.230e-07,1.0114243938,0.000e+00,6.58011547472,6.5804210798,4.644157e-05,2.2173,0.0314795889406,0.0314754648844,4.124e-06,0.000e+00
