id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-004,B1,Da,0,multigrid,8,3,16,0,inf,21,4.167e-11,0.502233497742,8.382e-04,1.94345765025,2,2.827117e-02,,2.44017383349,2.51327412287,0.000e+00,0.000e+00
B-004,B1,Da,1,multigrid,8,3,16,1,3.2,14,1.497e-11,0.502233497742,8.382e-04,3.82202868601,4,4.449283e-02,,4.79887708861,5.02654824574,0.000e+00,0.000e+00
B-004,B1,Da,4,multigrid,8,3,16,4,1.6,14,2.328e-11,0.502233497742,8.382e-04,5.53415681493,6,7.764053e-02,,6.94859733554,7.53982236862,0.000e+00,0.000e+00
B-004,B1,Da,10,multigrid,8,3,16,10,1.01193,12,6.462e-11,0.502233497742,8.382e-04,7.30108546581,8.32455532034,1.229459e-01,,9.16712422701,10.4609447355,0.000e+00,0.000e+00
B-004,B1,Da,100,multigrid,8,3,16,100,0.32,5,1.948e-11,0.502233497742,8.382e-04,13.7392514531,22,3.754886e-01,,17.2507807841,27.6460153516,0.000e+00,0.000e+00
B-004,B1,Da,1000,multigrid,8,3,16,1000,0.101193,4,5.798e-12,0.502233497742,8.382e-04,18.8346106068,65.2455532034,7.113273e-01,,23.6484309091,81.9899802492,0.000e+00,0.000e+00
B-004,B1,Da,0,multigrid,8,3,32,0,inf,24,9.882e-11,0.503545796343,1.773e-03,1.98191370769,2,9.043146e-03,1.6444,2.49496079056,2.51327412287,0.000e+00,0.000e+00
B-004,B1,Da,1,multigrid,8,3,32,1,6.4,16,4.983e-11,0.503545796343,1.773e-03,3.94644651748,4,1.338837e-02,1.7326,4.96804138593,5.02654824574,0.000e+00,0.000e+00
B-004,B1,Da,4,multigrid,8,3,32,4,3.2,15,3.967e-11,0.503545796343,1.773e-03,5.86269911213,6,2.288348e-02,1.7625,7.38034373285,7.53982236862,0.000e+00,0.000e+00
B-004,B1,Da,10,multigrid,8,3,32,10,2.02386,14,3.654e-11,0.503545796343,1.773e-03,8.01416213237,8.32455532034,3.728646e-02,1.7213,10.0887441324,10.4609447355,0.000e+00,0.000e+00
B-004,B1,Da,100,multigrid,8,3,32,100,0.64,11,3.831e-11,0.503545796343,1.773e-03,18.5610466786,22,1.563161e-01,1.2643,23.3658425768,27.6460153516,0.000e+00,0.000e+00
B-004,B1,Da,1000,multigrid,8,3,32,1000,0.202386,5,1.364e-12,0.503545796343,1.773e-03,34.1367664938,65.2455532034,4.767955e-01,0.5771,42.9735631718,81.9899802492,0.000e+00,0.000e+00
