id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-020,D1,k,0.1,multigrid,4,2,8,0.1,1.13137,178,6.243e-09,1,0.000e+00,0.0907542912718,0.0909090909091,1.702796e-03,,0.907542912718,0.909090909091,1.703e-03,1.529e-16
B-020,D1,k,1,multigrid,4,2,8,1,1.13137,192,6.331e-09,1,0.000e+00,0.499589210973,0.5,8.215781e-04,,0.499589210973,0.5,8.216e-04,0.000e+00
B-020,D1,k,2,multigrid,4,2,8,2,1.13137,188,6.374e-09,1,0.000e+00,0.666325263937,0.666666666667,5.121041e-04,,0.333162631969,0.333333333333,5.121e-04,0.000e+00
B-020,D1,k,10,multigrid,4,2,8,10,1.13137,163,6.051e-09,1,0.000e+00,0.908978204175,0.909090909091,1.239754e-04,,0.0908978204175,0.0909090909091,1.240e-04,0.000e+00
B-020,D1,k,100,multigrid,4,2,8,100,1.13137,132,2.446e-09,1,0.000e+00,0.990086258815,0.990099009901,1.287860e-05,,0.00990086258815,0.00990099009901,1.288e-05,0.000e+00
B-020,D1D,D1/D2,0.01,multigrid,4,2,8,2,0.113137,157,6.185e-09,1,0.000e+00,0.135098183101,0.166666666667,1.894109e-01,,0.0675490915506,0.0833333333333,1.894e-01,0.000e+00
B-020,D1D,D1/D2,0.1,multigrid,4,2,8,2,0.357771,164,6.293e-09,1,0.000e+00,0.320615566957,0.387425886723,1.724467e-01,,0.160307783478,0.193712943361,1.724e-01,0.000e+00
B-020,D1D,D1/D2,1,multigrid,4,2,8,2,1.13137,188,6.374e-09,1,0.000e+00,0.666325263937,0.666666666667,5.121041e-04,,0.333162631969,0.333333333333,5.121e-04,0.000e+00
B-020,D1D,D1/D2,10,multigrid,4,2,8,2,0.410084,196,3.249e-08,1,0.000e+00,0.883410002687,0.863472940504,2.308939e-02,,0.441705001343,0.431736470252,2.309e-02,0.000e+00
B-020,D1D,D1/D2,100,multigrid,4,2,8,2,0.12968,169,4.373e-07,1,0.000e+00,0.983667386519,0.952380952381,3.285076e-02,,0.491833693259,0.47619047619,3.285e-02,0.000e+00
B-020,D1,k,0.1,multigrid,4,2,16,0.1,2.26274,252,5.537e-09,1,0.000e+00,0.0909453589549,0.0909090909091,3.989485e-04,-10.9313,0.909453589549,0.909090909091,3.989e-04,0.000e+00
B-020,D1,k,1,multigrid,4,2,16,1,2.26274,257,6.322e-09,1,0.000e+00,0.500109400087,0.5,2.188002e-04,-10.9313,0.500109400087,0.5,2.188e-04,0.000e+00
B-020,D1,k,2,multigrid,4,2,16,2,2.26274,254,6.202e-09,1,0.000e+00,0.666763798206,0.666666666667,1.456973e-04,1.8135,0.333381899103,0.333333333333,1.457e-04,0.000e+00
B-020,D1,k,10,multigrid,4,2,16,10,2.26274,233,6.067e-09,1,0.000e+00,0.909126971205,0.909090909091,3.966833e-05,1.8135,0.0909126971205,0.0909090909091,3.967e-05,1.221e-16
