id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-022,D8,h,1,multigrid,16,2,8,2,1,109,1.763e-10,6.2818677254,2.097e-04,-4.1744586923,-6.20801450525,3.275694e-01,,0.597044546565,0.255471066449,1.337e+00,1.461e-11
B-022,D8,h,0.5,multigrid,16,2,16,2,2,102,4.520e-10,6.28318175239,5.658e-07,-7.17619619543,-6.20801450525,1.559567e-01,1.0707,0.279007472791,0.255471066449,9.213e-02,2.884e-14
B-022,D8,h,0.25,multigrid,16,2,32,2,4,200,9.516e-10,6.28318520991,1.548e-08,-6.47514197475,-6.20801450525,4.302945e-02,1.8577,0.259737206918,0.255471066449,1.670e-02,1.170e-13
B-022,D8,h,0.125,multigrid,16,2,64,2,8,539,2.467e-09,6.28318529657,1.688e-09,-6.26660203808,-6.20801450525,9.437403e-03,2.1889,0.256284477026,0.255471066449,3.184e-03,2.686e-13
B-022,D8,h,0.0625,multigrid,16,2,128,2,16,1569,5.092e-09,6.28318530677,6.523e-11,-6.22145019043,-6.20801450525,2.164248e-03,2.1245,0.255663522731,0.255471066449,7.533e-04,3.367e-13
B-022,D8,h,0.03125,multigrid,16,2,256,2,32,4002,1.023e-08,6.28318530714,6.874e-12,-6.21155063843,-6.20801450525,5.696078e-04,1.9258,0.255522523261,0.255471066449,2.014e-04,4.162e-13
B-022,D8lam,lambda,1,multigrid,16,2,8,1,1,73,9.041e-11,6.2818677254,2.097e-04,-2.62738437569,-5.15134069225,4.899611e-01,,0.748007696099,0.408229927029,8.323e-01,7.342e-12
B-022,D8lam,lambda,2,multigrid,16,2,8,2,1,109,1.763e-10,6.2818677254,2.097e-04,-4.1744586923,-6.20801450525,3.275694e-01,,0.597044546565,0.255471066449,1.337e+00,1.461e-11
B-022,D8lam,lambda,10,multigrid,16,2,8,10,1,271,3.153e-10,6.2818677254,2.097e-04,-7.86014590685,-7.3332900666,7.184440e-02,,0.227778617088,0.0637777637382,2.571e+00,1.827e-11
B-022,D8lam,lambda,100,multigrid,16,2,8,100,1,1542,3.199e-10,6.2818677254,2.097e-04,-9.78084004388,-7.61936003668,2.836826e-01,,0.0285728971506,0.00675000002449,3.233e+00,6.782e-12
B-022,D8lam,lambda,1,multigrid,16,2,16,1,2,83,6.399e-10,6.28318175239,5.658e-07,-5.79850950264,-5.15134069225,1.256311e-01,,0.437886496983,0.408229927029,7.265e-02,1.463e-12
B-022,D8lam,lambda,2,multigrid,16,2,16,2,2,102,4.520e-10,6.28318175239,5.658e-07,-7.17619619543,-6.20801450525,1.559567e-01,,0.279007472791,0.255471066449,9.213e-02,2.884e-14
B-022,D8lam,lambda,10,multigrid,16,2,16,10,2,114,6.364e-10,6.28318175239,5.658e-07,-8.7120726176,-7.3332900666,1.880169e-01,,0.0711064112747,0.0637777637382,1.149e-01,2.347e-12
B-022,D8lam,lambda,100,multigrid,16,2,16,100,2,137,3.278e-10,6.28318175239,5.658e-07,-9.10484955642,-7.61936003668,1.949625e-01,,0.00756609681007,0.00675000002449,1.209e-01,1.353e-12
B-022,D8lam,lambda,1,multigrid,16,2,32,1,4,197,1.142e-09,6.28318520991,1.548e-08,-5.35818900513,-5.15134069225,4.015427e-02,,0.414366411979,0.408229927029,1.503e-02,7.577e-14
B-022,D8lam,lambda,2,multigrid,16,2,32,2,4,200,9.516e-10,6.28318520991,1.548e-08,-6.47514197475,-6.20801450525,4.302945e-02,,0.259737206918,0.255471066449,1.670e-02,1.170e-13
B-022,D8lam,lambda,10,multigrid,16,2,32,10,4,265,7.886e-10,6.28318520991,1.548e-08,-7.62797693202,-7.3332900666,4.018481e-02,,0.0648855300068,0.0637777637382,1.737e-02,9.528e-14
B-022,D8lam,lambda,100,multigrid,16,2,32,100,4,269,9.645e-10,6.28318520991,1.548e-08,-7.89267573957,-7.61936003668,3.587122e-02,,0.00687673151885,0.00675000002449,1.878e-02,1.125e-13
B-022,D8lam,lambda,1,multigrid,16,2,64,1,8,538,2.357e-09,6.28318529657,1.688e-09,-5.19752122767,-5.15134069225,8.964760e-03,,0.409452701095,0.408229927029,2.995e-03,1.903e-13
B-022,D8lam,lambda,2,multigrid,16,2,64,2,8,539,2.467e-09,6.28318529657,1.688e-09,-6.26660203808,-6.20801450525,9.437403e-03,,0.256284477026,0.255471066449,3.184e-03,2.686e-13
B-022,D8lam,lambda,10,multigrid,16,2,64,10,8,582,2.548e-09,6.28318529657,1.688e-09,-7.40342732927,-7.3332900666,9.564229e-03,,0.0639283885735,0.0637777637382,2.362e-03,1.120e-12
B-022,D8lam,lambda,100,multigrid,16,2,64,100,8,667,2.526e-09,6.28318529657,1.688e-09,-7.69192870867,-7.61936003668,9.524248e-03,,0.00675915452574,0.00675000002449,1.356e-03,1.258e-13
B-022,D8lam,lambda,1,multigrid,16,2,128,1,16,1483,5.082e-09,6.28318530677,6.523e-11,-5.16208773519,-5.15134069225,2.086261e-03,,0.408531098613,0.408229927029,7.377e-04,2.129e-13
B-022,D8lam,lambda,2,multigrid,16,2,128,2,16,1569,5.092e-09,6.28318530677,6.523e-11,-6.22145019043,-6.20801450525,2.164248e-03,,0.255663522731,0.255471066449,7.533e-04,3.367e-13
B-022,D8lam,lambda,10,multigrid,16,2,128,10,16,1898,5.077e-09,6.28318530677,6.523e-11,-7.34907914089,-7.3332900666,2.153068e-03,,0.0638009983756,0.0637777637382,3.643e-04,1.169e-13
B-022,D8lam,lambda,100,multigrid,16,2,128,100,16,2107,5.042e-09,6.28318530677,6.523e-11,-7.63582129036,-7.61936003668,2.160451e-03,,0.00674923233249,0.00675000002449,1.137e-04,4.806e-14
B-022,D8lam,lambda,1,multigrid,16,2,256,1,32,3893,1.020e-08,6.28318530714,6.874e-12,-5.15415867315,-5.15134069225,5.470383e-04,,0.408304163554,0.408229927029,1.818e-04,3.803e-13
B-022,D8lam,lambda,2,multigrid,16,2,256,2,32,4002,1.023e-08,6.28318530714,6.874e-12,-6.21155063843,-6.20801450525,5.696078e-04,,0.255522523261,0.255471066449,2.014e-04,4.162e-13
B-022,D8lam,lambda,10,multigrid,16,2,256,10,32,4923,1.022e-08,6.28318530714,6.874e-12,-7.33743279528,-7.3332900666,5.649209e-04,,0.0637896851971,0.0637777637382,1.869e-04,4.280e-13
B-022,D8lam,lambda,100,multigrid,16,2,256,100,32,5580,1.022e-08,6.28318530714,6.874e-12,-7.62360940021,-7.61936003668,5.577061e-04,,0.00675108247024,0.00675000002449,1.604e-04,4.116e-13
