id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-023,D9,h,0.375,multigrid,8,3,16,0.001,5.33333,439,3.170e-12,12.549332285,1.356e-03,-0.00167917908028,-0.0017347570769,3.203791e-02,,0.989794037763,0.989311136641,4.881e-04,3.823e-02
B-023,D9,h,0.1875,multigrid,8,3,32,0.001,10.6667,1611,6.262e-12,12.5655062939,6.878e-05,-0.00171980314761,-0.0017347570769,8.620186e-03,1.8940,0.989447546475,0.989311136641,1.379e-04,9.678e-03
B-023,D9,h,0.09375,multigrid,8,3,64,0.001,21.3333,9595,1.270e-11,12.5677392819,1.089e-04,-0.00173121836243,-0.0017347570769,2.039890e-03,2.0792,0.989345488174,0.989311136641,3.472e-05,2.414e-03
B-023,D9b,d0/dx,3.2,multigrid,8,3,16,0.001,3.2,1945,1.357e-10,12.5429499879,1.864e-03,0.994011192022,0.97884416992,1.549483e-02,,4.5937632968e-05,0.000569302072379,9.193e-01,3.355e-16
B-023,D9b,d0/dx,6.4,multigrid,8,3,32,0.001,6.4,3561,2.712e-10,12.5558374435,8.382e-04,0.979459995569,0.97884416992,6.291355e-04,4.6223,0.000553892745377,0.000569302072379,2.707e-02,0.000e+00
B-023,D9b,d0/dx,12.8,multigrid,8,3,64,0.001,12.8,5562,5.433e-10,12.5886449086,1.773e-03,0.979000833139,0.97884416992,1.600492e-04,1.9749,0.000564681106417,0.000569302072379,8.117e-03,0.000e+00
B-023,D9bVOF,d0/dx,6.4,multigrid,8,3,32,0.001,6.4,0,0.000e+00,12.5663706144,0.000e+00,0.971805162,0.97884416992,7.190000e-03,,0.0007524208,0.000569302072379,3.220e-01,0.000e+00
B-023,D9bVOF,d0/dx,12.8,multigrid,8,3,64,0.001,12.8,0,0.000e+00,12.5663706144,0.000e+00,0.977217923,0.97884416992,1.660000e-03,2.1148,0.0006537141,0.000569302072379,1.480e-01,0.000e+00
B-023,D9bVOF,d0/dx,25.6,multigrid,8,3,128,0.001,25.6,0,0.000e+00,12.5663706144,0.000e+00,0.977536554,0.97884416992,1.340000e-03,0.3090,0.0006034273,0.000569302072379,5.990e-02,0.000e+00
B-023,D9bVOF,d0/dx,51.2,multigrid,8,3,256,0.001,51.2,0,0.000e+00,12.5663706144,0.000e+00,0.978081005,0.97884416992,7.800000e-04,0.7807,0.000588519,0.000569302072379,3.380e-02,0.000e+00
B-023,D9bVOF,d0/dx,102.4,multigrid,8,3,512,0.001,102.4,0,0.000e+00,12.5663706144,0.000e+00,0.978475835,0.97884416992,3.760000e-04,1.0527,0.0005790618,0.000569302072379,1.710e-02,0.000e+00
