id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-010,C5,n,0.5,multigrid,64,2,32,1,9.0784,264,9.627e-12,1.78253966987,0.000e+00,0.939691743439,0.940100081358,4.343558e-04,,0.866025403784,0.939691743439,9.431e-13,2.300e+01
B-010,C5,n,0.5,multigrid,64,2,32,5,1.81568,2425,9.933e-12,1.78253966987,0.000e+00,0.409296971368,0.314173126774,-1,,4.33012701892,0.38377940495,8.122e-02,2.000e+02
B-010,C5,n,0.5,multigrid,64,2,32,20,0.45392,79612,2.328e-10,1.78253966987,0.000e+00,0.0955903633527,0.0722645733228,-1,,17.3205080757,0.0774779664064,2.506e-01,2.000e+02
B-010,C5,n,1,multigrid,64,2,32,1,9.0784,20,8.916e-12,1.78253966987,0.000e+00,0.892035050723,0.892779931692,8.343388e-04,,1,0.892035050723,3.768e-14,2.000e+00
B-010,C5,n,1,multigrid,64,2,32,5,1.81568,18,3.972e-12,1.78253966987,0.000e+00,0.350102916964,0.357353273821,2.028905e-02,,5,0.350102916964,0.000e+00,2.000e+00
B-010,C5,n,1,multigrid,64,2,32,20,0.45392,11,1.364e-12,1.78253966987,0.000e+00,0.0787610309931,0.0974671289357,1.919221e-01,,20,0.0787610309931,0.000e+00,2.000e+00
B-010,C5,n,2,multigrid,64,2,32,1,9.0784,49,9.317e-12,1.78253966987,0.000e+00,0.819435196519,0.820732823146,1.581059e-03,,1.22474487139,0.81943519652,1.426e-13,4.000e+00
B-010,C5,n,2,multigrid,64,2,32,5,1.81568,71,7.219e-12,1.78253966987,0.000e+00,0.283146101459,0.292550628349,3.214666e-02,,6.12372435696,0.283146101459,0.000e+00,7.000e+00
B-010,C5,n,2,multigrid,64,2,32,20,0.45392,95,9.907e-12,1.78253966987,0.000e+00,0.0616640811006,0.0796233879195,2.255532e-01,,24.4948974278,0.0616640811006,0.000e+00,1.000e+01
B-010,C5,n,3,multigrid,64,2,32,1,9.0784,52,9.862e-12,1.78253966987,0.000e+00,0.765193964446,0.766948405546,2.287561e-03,,1.41421356237,0.765193964446,3.793e-14,5.000e+00
B-010,C5,n,3,multigrid,64,2,32,5,1.81568,79,7.503e-12,1.78253966987,0.000e+00,0.244023052358,0.254790763528,4.226099e-02,,7.07106781187,0.244023052358,2.179e-16,7.000e+00
B-010,C5,n,3,multigrid,64,2,32,20,0.45392,99,9.663e-12,1.78253966987,0.000e+00,0.0516783248557,0.0690228186812,2.512864e-01,,28.2842712475,0.0516783248557,0.000e+00,1.000e+01
B-010,C5,n,0.5,multigrid,64,2,64,1,18.1568,278,9.683e-12,1.78253967152,0.000e+00,0.939995141301,0.940100081358,1.116265e-04,,0.866025403784,0.939995141302,9.861e-13,2.300e+01
B-010,C5,n,0.5,multigrid,64,2,64,5,3.63136,3167,9.670e-12,1.78253967152,0.000e+00,0.413303005067,0.314173126774,-1,,4.33012701892,0.387877165981,8.093e-02,2.000e+02
B-010,C5,n,0.5,multigrid,64,2,64,20,0.90784,79617,2.328e-10,1.78253967152,0.000e+00,0.107918219424,0.0722645733228,-1,,17.3205080757,0.0895379137483,2.543e-01,2.000e+02
B-010,C5,n,1,multigrid,64,2,64,1,18.1568,26,6.379e-12,1.78253967152,0.000e+00,0.89258730827,0.892779931692,2.157569e-04,,1,0.89258730827,2.027e-14,2.000e+00
B-010,C5,n,1,multigrid,64,2,64,5,3.63136,20,6.356e-12,1.78253967152,0.000e+00,0.355313827748,0.357353273821,5.707087e-03,,5,0.355313827748,0.000e+00,2.000e+00
B-010,C5,n,1,multigrid,64,2,64,20,0.90784,15,7.099e-12,1.78253967152,0.000e+00,0.0904387881819,0.0974671289357,7.210986e-02,,20,0.0904387881819,1.424e-16,2.000e+00
B-010,C5,n,2,multigrid,64,2,64,1,18.1568,53,8.959e-12,1.78253967152,0.000e+00,0.820393766541,0.820732823146,4.131145e-04,,1.22474487139,0.820393766541,2.705e-14,4.000e+00
B-010,C5,n,2,multigrid,64,2,64,5,3.63136,77,9.777e-12,1.78253967152,0.000e+00,0.289749565879,0.292550628349,9.574625e-03,,6.12372435696,0.289749565879,1.897e-16,7.000e+00
B-010,C5,n,2,multigrid,64,2,64,20,0.90784,111,7.589e-12,1.78253967152,0.000e+00,0.0719636424283,0.0796233879195,9.619969e-02,,24.4948974278,0.0719636424283,0.000e+00,1.000e+01
B-010,C5,n,3,multigrid,64,2,64,1,18.1568,55,8.846e-12,1.78253967152,0.000e+00,0.766486039819,0.766948405546,6.028642e-04,,1.41421356237,0.766486039819,7.817e-15,5.000e+00
B-010,C5,n,3,multigrid,64,2,64,5,3.63136,83,9.017e-12,1.78253967152,0.000e+00,0.251452715311,0.254790763528,1.310114e-02,,7.07106781187,0.251452715311,2.179e-16,7.000e+00
B-010,C5,n,3,multigrid,64,2,64,20,0.90784,116,9.663e-12,1.78253967152,0.000e+00,0.0610653039483,0.0690228186812,1.152882e-01,,28.2842712475,0.0610653039483,0.000e+00,1.000e+01
B-010,C5,n,0.5,multigrid,64,2,128,1,36.3136,9200,4.141e-11,1.78253967164,0.000e+00,0.940074650182,0.940100081358,2.705156e-05,,0.866025403784,0.940074650183,9.966e-13,2.300e+01
B-010,C5,n,0.5,multigrid,64,2,128,5,7.26272,80000,6.835e-11,1.78253967164,0.000e+00,0.414396804624,0.314173126774,-1,,4.33012701892,0.389019080377,8.078e-02,2.000e+02
B-010,C5,n,0.5,multigrid,64,2,128,20,1.81568,80000,2.328e-10,1.78253967164,0.000e+00,0.112300946253,0.0722645733228,-1,,17.3205080757,0.0943320473065,2.487e-01,2.000e+02
B-010,C5,n,1,multigrid,64,2,128,1,36.3136,800,1.801e-11,1.78253967164,0.000e+00,0.892732992779,0.892779931692,5.257613e-05,,1,0.892732992779,6.218e-16,2.000e+00
B-010,C5,n,1,multigrid,64,2,128,5,7.26272,800,2.327e-11,1.78253967164,0.000e+00,0.356820914407,0.357353273821,1.489729e-03,,5,0.356820914407,4.660e-16,2.000e+00
B-010,C5,n,1,multigrid,64,2,128,20,1.81568,800,2.291e-11,1.78253967164,0.000e+00,0.0952292257919,0.0974671289357,2.296059e-02,,20,0.0952292257919,0.000e+00,2.000e+00
B-010,C5,n,2,multigrid,64,2,128,1,36.3136,1600,4.287e-11,1.78253967164,0.000e+00,0.820649447637,0.820732823146,1.015867e-04,,1.22474487139,0.820649447637,2.705e-16,4.000e+00
B-010,C5,n,2,multigrid,64,2,128,5,7.26272,2800,4.506e-11,1.78253967164,0.000e+00,0.291788568752,0.292550628349,2.604881e-03,,6.12372435696,0.291788568752,0.000e+00,7.000e+00
B-010,C5,n,2,multigrid,64,2,128,20,1.81568,4000,3.490e-11,1.78253967164,0.000e+00,0.0769131992963,0.0796233879195,3.403759e-02,,24.4948974278,0.0769131992963,1.743e-16,1.000e+01
B-010,C5,n,3,multigrid,64,2,128,1,36.3136,2000,3.842e-11,1.78253967164,0.000e+00,0.766833867931,0.766948405546,1.493420e-04,,1.41421356237,0.766833867931,1.158e-15,5.000e+00
B-010,C5,n,3,multigrid,64,2,128,5,7.26272,2800,3.547e-11,1.78253967164,0.000e+00,0.253855727046,0.254790763528,3.669821e-03,,7.07106781187,0.253855727046,2.179e-16,7.000e+00
B-010,C5,n,3,multigrid,64,2,128,20,1.81568,4000,3.956e-11,1.78253967164,0.000e+00,0.0660200399341,0.0690228186812,4.350415e-02,,28.2842712475,0.0660200399341,0.000e+00,1.000e+01
B-010,C5,n,0.5,multigrid,64,2,256,1,72.6272,9200,3.192e-10,1.78253967165,0.000e+00,0.94009385686,0.940100081358,6.621101e-06,,0.866025403784,0.940093856861,1.003e-12,2.300e+01
B-010,C5,n,0.5,multigrid,64,2,256,5,14.5254,80000,3.252e-10,1.78253967165,0.000e+00,0.414674295883,0.314173126774,-1,,4.33012701892,0.389344439699,8.062e-02,2.000e+02
B-010,C5,n,0.5,multigrid,64,2,256,20,3.63136,80000,3.240e-10,1.78253967165,0.000e+00,0.11361904211,0.0722645733228,-1,,17.3205080757,0.0957486401784,2.473e-01,2.000e+02
