id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-025,D4,Da,0.25,multigrid,16,2,32,0.25,18.1568,164,8.919e-12,1.78253966987,0.000e+00,1.52302321277,1.52367002867,4.245118e-04,,1.99955903404,0.999779517018,0.000e+00,4.809e-15
B-025,D4,Da,1,multigrid,16,2,32,1,9.0784,156,9.294e-12,1.78253966987,0.000e+00,5.60279137013,5.60950181803,1.196265e-03,,1.99923445478,0.99961722739,0.000e+00,1.583e-15
B-025,D4,Da,4,multigrid,16,2,32,4,4.5392,138,7.678e-12,1.78253966987,0.000e+00,17.4944502137,17.5369899054,2.425712e-03,,2.00176212403,1.00088106202,0.000e+00,6.078e-16
B-025,D4,Da,16,multigrid,16,2,32,16,2.2696,140,8.868e-12,1.78253966987,0.000e+00,43.2167403976,43.405379835,4.345992e-03,,2.02004995474,1.01002497737,0.000e+00,0.000e+00
B-025,D4,Da,100,multigrid,16,2,32,100,0.90784,141,7.276e-12,1.78253966987,0.000e+00,118.108172611,119.204568991,9.197604e-03,,2.16828633638,1.08414316819,0.000e+00,0.000e+00
B-025,D4lam,lambda,0.1,multigrid,16,2,32,0.1,4.5392,107,7.287e-12,1.78253966987,0.000e+00,0.873970534532,0.876849495268,3.283301e-03,,0.0999996235889,0.999996235889,0.000e+00,7.597e-16
B-025,D4lam,lambda,1,multigrid,16,2,32,1,4.5392,129,7.859e-12,1.78253966987,0.000e+00,8.74449827247,8.76849495268,2.736693e-03,,1.00055691869,1.00055691869,0.000e+00,8.103e-16
B-025,D4lam,lambda,2,multigrid,16,2,32,2,4.5392,138,7.678e-12,1.78253966987,0.000e+00,17.4944502137,17.5369899054,2.425712e-03,,2.00176212403,1.00088106202,0.000e+00,6.078e-16
B-025,D4lam,lambda,10,multigrid,16,2,32,10,4.5392,400,1.593e-11,1.78253966987,0.000e+00,87.518710487,87.6849495268,1.895867e-03,,10.0144347506,1.00144347506,0.000e+00,1.621e-16
B-025,D4lam,lambda,100,multigrid,16,2,32,100,4.5392,400,1.202e-10,1.78253966987,0.000e+00,875.367821465,876.849495268,1.689770e-03,,100.166857988,1.00166857988,1.419e-16,2.593e-16
B-025,D4,Da,0.25,multigrid,16,2,64,0.25,36.3136,400,1.522e-10,1.78253967152,0.000e+00,1.52350898951,1.52367002867,1.056916e-04,2.0059,1.99989656553,0.999948282766,0.000e+00,2.915e-16
B-025,D4,Da,1,multigrid,16,2,64,1,18.1568,400,9.709e-11,1.78253967152,0.000e+00,5.60782871218,5.60950181803,2.982628e-04,2.0039,1.99983455894,0.999917279471,0.000e+00,3.800e-15
B-025,D4,Da,4,multigrid,16,2,64,4,9.0784,400,8.743e-11,1.78253967152,0.000e+00,17.5263380859,17.5369899054,6.073915e-04,1.9977,2.00054225911,1.00027112956,0.000e+00,2.026e-16
B-025,D4,Da,16,multigrid,16,2,64,16,4.5392,400,7.765e-11,1.78253967152,0.000e+00,43.3574713833,43.405379835,1.103745e-03,1.9773,2.00547108964,1.00273554482,0.000e+00,3.274e-16
B-025,D4,Da,100,multigrid,16,2,64,100,1.81568,400,1.577e-10,1.78253967152,0.000e+00,118.905524785,119.204568991,2.508664e-03,1.8743,2.04784878493,1.02392439246,0.000e+00,1.192e-16
B-025,D4lam,lambda,0.1,multigrid,16,2,64,0.1,9.0784,400,1.789e-10,1.78253967152,0.000e+00,0.876105163946,0.876849495268,8.488701e-04,1.9515,0.100001849181,1.00001849181,0.000e+00,6.331e-16
B-025,D4lam,lambda,1,multigrid,16,2,64,1,9.0784,400,6.042e-11,1.78253967152,0.000e+00,8.76244620772,8.76849495268,6.898270e-04,1.9881,1.00018467183,1.00018467183,0.000e+00,1.216e-15
B-025,D4lam,lambda,2,multigrid,16,2,64,2,9.0784,400,8.743e-11,1.78253967152,0.000e+00,17.5263380859,17.5369899054,6.073915e-04,1.9977,2.00054225911,1.00027112956,0.000e+00,2.026e-16
B-025,D4lam,lambda,10,multigrid,16,2,64,10,9.0784,400,8.185e-11,1.78253967152,0.000e+00,87.6437606178,87.6849495268,4.697375e-04,2.0129,10.0041817222,1.00041817222,0.000e+00,0.000e+00
B-025,D4lam,lambda,100,multigrid,16,2,64,100,9.0784,400,9.613e-10,1.78253967152,0.000e+00,876.484008061,876.849495268,4.168186e-04,2.0193,100.047675167,1.00047675167,0.000e+00,2.593e-16
B-025,D4,Da,0.25,multigrid,16,2,128,0.25,72.6272,400,2.053e-10,1.78253967164,0.000e+00,1.52363031329,1.52367002867,2.606560e-05,2.0196,1.99997463006,0.99998731503,0.000e+00,9.327e-15
B-025,D4,Da,1,multigrid,16,2,128,1,36.3136,400,2.953e-10,1.78253967164,0.000e+00,5.60908905369,5.60950181803,7.358307e-05,2.0191,1.99995982174,0.999979910868,0.000e+00,1.583e-15
B-025,D4,Da,4,multigrid,16,2,128,4,18.1568,400,2.331e-10,1.78253967164,0.000e+00,17.5343549223,17.5369899054,1.502529e-04,2.0152,2.00013811159,1.00006905579,0.000e+00,1.216e-15
B-025,D4,Da,16,multigrid,16,2,128,16,9.0784,400,2.378e-10,1.78253967164,0.000e+00,43.3933946538,43.405379835,2.761220e-04,1.9990,2.00139415234,1.00069707617,0.000e+00,1.637e-16
B-025,D4,Da,100,multigrid,16,2,128,100,3.63136,400,2.530e-10,1.78253967164,0.000e+00,119.125369548,119.204568991,6.643994e-04,1.9168,2.01289704313,1.00644852156,0.000e+00,0.000e+00
B-025,D4lam,lambda,0.1,multigrid,16,2,128,0.1,18.1568,400,3.978e-10,1.78253967164,0.000e+00,0.876665254976,0.876849495268,2.101162e-04,2.0144,0.10000053596,1.0000053596,1.388e-16,1.013e-15
B-025,D4lam,lambda,1,multigrid,16,2,128,1,18.1568,400,7.736e-11,1.78253967164,0.000e+00,8.76699659037,8.76849495268,1.708802e-04,2.0132,1.00004730789,1.00004730789,0.000e+00,2.026e-16
B-025,D4lam,lambda,2,multigrid,16,2,128,2,18.1568,400,2.331e-10,1.78253967164,0.000e+00,17.5343549223,17.5369899054,1.502529e-04,2.0152,2.00013811159,1.00006905579,0.000e+00,1.216e-15
B-025,D4lam,lambda,10,multigrid,16,2,128,10,18.1568,400,3.656e-10,1.78253967164,0.000e+00,87.6748124886,87.6849495268,1.156075e-04,2.0226,10.001058024,1.0001058024,0.000e+00,9.724e-16
B-025,D4lam,lambda,100,multigrid,16,2,128,100,18.1568,400,2.947e-09,1.78253967164,0.000e+00,876.759735248,876.849495268,1.023665e-04,2.0257,100.012006599,1.00012006599,0.000e+00,7.779e-16
B-025,D4,Da,0.25,multigrid,16,2,256,0.25,145.254,400,7.617e-10,1.78253967165,0.000e+00,1.52366024889,1.52367002867,6.418564e-06,2.0218,1.99999403229,0.999997016146,0.000e+00,2.609e-14
B-025,D4,Da,1,multigrid,16,2,256,1,72.6272,400,5.181e-10,1.78253967165,0.000e+00,5.60940030826,5.60950181803,1.809604e-05,2.0237,1.99999118055,0.999995590277,0.000e+00,3.483e-15
B-025,D4,Da,4,multigrid,16,2,256,4,36.3136,400,5.780e-10,1.78253967165,0.000e+00,17.5363421131,17.5369899054,3.693862e-05,2.0242,2.00003800534,1.00001900267,0.000e+00,1.418e-15
B-025,D4,Da,16,multigrid,16,2,256,16,18.1568,400,6.655e-10,1.78253967165,0.000e+00,43.4024374115,43.405379835,6.778937e-05,2.0262,2.00035669344,1.00017834672,0.000e+00,9.822e-16
B-025,D4,Da,100,multigrid,16,2,256,100,7.26272,400,7.444e-10,1.78253967165,0.000e+00,119.185072849,119.204568991,1.635520e-04,2.0223,2.00323885861,1.00161942931,0.000e+00,1.311e-15
B-025,D4lam,lambda,0.1,multigrid,16,2,256,0.1,36.3136,400,4.131e-10,1.78253967165,0.000e+00,0.87680372554,0.876849495268,5.219793e-05,2.0091,0.100000178031,1.00000178031,2.776e-16,1.266e-16
B-025,D4lam,lambda,1,multigrid,16,2,256,1,36.3136,400,4.857e-10,1.78253967165,0.000e+00,8.76812463012,8.76849495268,4.223331e-05,2.0165,1.00001319648,1.00001319648,0.000e+00,8.103e-16
B-025,D4lam,lambda,2,multigrid,16,2,256,2,36.3136,400,5.780e-10,1.78253967165,0.000e+00,17.5363421131,17.5369899054,3.693862e-05,2.0242,2.00003800534,1.00001900267,0.000e+00,1.418e-15
B-025,D4lam,lambda,10,multigrid,16,2,256,10,36.3136,400,2.657e-09,1.78253967165,0.000e+00,87.6825030241,87.6849495268,2.790106e-05,2.0508,10.0002887255,1.00002887255,1.776e-16,1.783e-15
