id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-005,B2,Da,0.25,multigrid,16,2,16,0.25,6.4,17,3.414e-11,1.25663700704,4.329e-08,1.7676524153,1.79187258728,1.351668e-02,,5.55324360161,5.62933375636,0.000e+00,0.000e+00
B-005,B2,Da,1,multigrid,16,2,16,1,3.2,15,9.776e-11,1.25663700704,4.329e-08,2.79281758164,2.85925092002,2.323453e-02,,8.77389481748,8.98260168511,0.000e+00,0.000e+00
B-005,B2,Da,4,multigrid,16,2,16,4,1.6,13,4.819e-11,1.25663700704,4.329e-08,4.65031719223,4.91214734277,5.330258e-02,,14.6094016956,15.4319660054,0.000e+00,0.000e+00
B-005,B2,Da,10,multigrid,16,2,16,10,1.01193,11,9.096e-12,1.25663700704,4.329e-08,6.55525910919,7.26278419625,9.741789e-02,,20.5939529683,22.8167094755,0.000e+00,0.000e+00
B-005,B2,Da,100,multigrid,16,2,16,100,0.32,6,1.565e-11,1.25663700704,4.329e-08,13.4018178193,20.9771754643,3.611238e-01,,42.1030505832,65.9017403316,0.000e+00,0.000e+00
B-005,B2,Da,1000,multigrid,16,2,16,1000,0.101193,3,2.305e-12,1.25663700704,4.329e-08,18.8988721386,64.2378664273,7.057986e-01,,59.3725553017,201.80920925,0.000e+00,0.000e+00
B-005,B2,Da,0.25,multigrid,16,2,32,0.25,12.8,20,4.527e-11,1.25663705133,8.043e-09,1.78595141113,1.79187258728,3.304463e-03,2.0323,5.61073178776,5.62933375636,0.000e+00,0.000e+00
B-005,B2,Da,1,multigrid,16,2,32,1,6.4,16,1.442e-11,1.25663705133,8.043e-09,2.84247832826,2.85925092002,5.866079e-03,1.9858,8.92990896223,8.98260168511,0.000e+00,0.000e+00
B-005,B2,Da,4,multigrid,16,2,32,4,3.2,16,2.164e-11,1.25663705133,8.043e-09,4.84240303234,4.91214734277,1.419833e-02,1.9085,15.2128576698,15.4319660054,0.000e+00,0.000e+00
B-005,B2,Da,10,multigrid,16,2,32,10,2.02386,14,3.059e-11,1.25663705133,8.043e-09,7.06327357101,7.26278419625,2.747027e-02,1.8263,22.1899281825,22.8167094755,0.000e+00,0.000e+00
B-005,B2,Da,100,multigrid,16,2,32,100,0.64,8,3.189e-11,1.25663705133,8.043e-09,17.9834522725,20.9771754643,1.427134e-01,1.3394,56.4966810911,65.9017403316,0.000e+00,0.000e+00
B-005,B2,Da,1000,multigrid,16,2,32,1000,0.202386,4,1.315e-12,1.25663705133,8.043e-09,34.0330616748,64.2378664273,4.702025e-01,0.5860,106.918015677,201.80920925,0.000e+00,0.000e+00
B-005,B2,Da,0.25,multigrid,16,2,64,0.25,25.6,27,4.588e-11,1.25663706098,3.632e-10,1.79029401713,1.79187258728,8.809612e-04,1.9073,5.62437452994,5.62933375636,0.000e+00,0.000e+00
B-005,B2,Da,1,multigrid,16,2,64,1,12.8,21,4.476e-11,1.25663706098,3.632e-10,2.85476399206,2.85925092002,1.569267e-03,1.9023,8.96850558192,8.98260168511,0.000e+00,0.000e+00
B-005,B2,Da,4,multigrid,16,2,64,4,6.4,19,4.255e-11,1.25663706098,3.632e-10,4.89306399219,4.91214734277,3.884930e-03,1.8698,15.3720138858,15.4319660054,0.000e+00,0.000e+00
B-005,B2,Da,10,multigrid,16,2,64,10,4.04772,15,3.561e-11,1.25663706098,3.632e-10,7.20632980879,7.26278419625,7.773105e-03,1.8213,22.6393527784,22.8167094755,0.000e+00,0.000e+00
B-005,B2,Da,100,multigrid,16,2,64,100,1.28,13,7.546e-11,1.25663706098,3.632e-10,19.9735235822,20.9771754643,4.784495e-02,1.5767,62.7486749293,65.9017403316,0.000e+00,0.000e+00
B-005,B2,Da,1000,multigrid,16,2,64,1000,0.404772,6,1.049e-11,1.25663706098,3.632e-10,50.5939762436,64.2378664273,2.123964e-01,1.1465,158.945664025,201.80920925,0.000e+00,0.000e+00
B-005,B2,Da,0.25,multigrid,16,2,128,0.25,51.2,34,5.154e-11,1.25663706141,1.883e-11,1.79148036244,1.79187258728,2.188910e-04,2.0089,5.6281015456,5.62933375636,0.000e+00,0.000e+00
B-005,B2,Da,1,multigrid,16,2,128,1,25.6,20,2.035e-11,1.25663706141,1.883e-11,2.85811952708,2.85925092002,3.956956e-04,1.9876,8.97904730919,8.98260168511,0.000e+00,0.000e+00
B-005,B2,Da,4,multigrid,16,2,128,4,12.8,19,2.234e-11,1.25663706141,1.883e-11,4.90721658466,4.91214734277,1.003789e-03,1.9524,15.4164755716,15.4319660054,0.000e+00,0.000e+00
B-005,B2,Da,10,multigrid,16,2,128,10,8.09543,16,7.140e-11,1.25663706141,1.883e-11,7.24781896495,7.26278419625,2.060536e-03,1.9155,22.7696948144,22.8167094755,0.000e+00,0.000e+00
B-005,B2,Da,100,multigrid,16,2,128,100,2.56,17,2.012e-11,1.25663706141,1.883e-11,20.6712697068,20.9771754643,1.458279e-02,1.7141,64.9407090501,65.9017403316,0.000e+00,0.000e+00
B-005,B2,Da,1000,multigrid,16,2,128,1000,0.809543,12,1.683e-11,1.25663706141,1.883e-11,58.3387894349,64.2378664273,9.183177e-02,1.2097,183.276712304,201.80920925,0.000e+00,0.000e+00
B-005,B2,Da,0.25,multigrid,16,2,256,0.25,102.4,400,1.295e-10,1.25663706143,8.531e-13,1.79177771543,1.79187258728,5.294564e-05,2.0476,5.62903570765,5.62933375636,0.000e+00,0.000e+00
B-005,B2,Da,1,multigrid,16,2,256,1,51.2,400,2.520e-10,1.25663706143,8.531e-13,2.85897462683,2.85925092002,9.663132e-05,2.0338,8.98173368444,8.98260168511,0.000e+00,0.000e+00
B-005,B2,Da,4,multigrid,16,2,256,4,25.6,400,1.375e-10,1.25663706143,8.531e-13,4.91092596961,4.91214734277,2.486434e-04,2.0133,15.4281289484,15.4319660054,0.000e+00,0.000e+00
B-005,B2,Da,10,multigrid,16,2,256,10,16.1909,20,8.242e-11,1.25663706143,8.531e-13,7.25902199324,7.26278419625,5.180111e-04,1.9920,22.8048901662,22.8167094755,0.000e+00,0.000e+00
B-005,B2,Da,100,multigrid,16,2,256,100,5.12,400,2.552e-10,1.25663706143,8.531e-13,20.8940885364,20.9771754643,3.960825e-03,1.8804,65.6407150492,65.9017403316,0.000e+00,0.000e+00
B-005,B2,Da,1000,multigrid,16,2,256,1000,1.61909,400,1.392e-10,1.25663706143,8.531e-13,62.250010955,64.2378664273,3.094523e-02,1.5693,195.564177102,201.80920925,0.000e+00,0.000e+00
