id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-009,B3,Da,0.25,multigrid,64,2,32,0.25,11.7568,47,6.620e-12,1.15422113438,0.000e+00,4.57077721927,4.59143756196,4.499755e-03,,3,2.06194575804,5.464e-01,3.730e-14
B-009,B3,Da,1,multigrid,64,2,32,1,5.8784,46,8.678e-12,1.15422113438,0.000e+00,7.24927688372,7.3135073854,8.782448e-03,,4,5.0999924093,2.939e-01,4.491e-14
B-009,B3,Da,4,multigrid,64,2,32,4,2.9392,42,9.686e-12,1.15422113438,0.000e+00,12.2909824469,12.5663986767,2.191688e-02,,4,10.8941069712,1.112e-01,4.349e-14
B-009,B3,Da,16,multigrid,64,2,32,16,1.4696,47,7.946e-12,1.15422113438,0.000e+00,21.5866967543,22.9125967401,5.786773e-02,,4,20.904006321,2.980e-02,4.649e-15
B-009,B3,Da,64,multigrid,64,2,32,64,0.7348,50,6.434e-12,1.15422113438,0.000e+00,37.4560333781,43.4874144125,1.386926e-01,,5,37.190341365,6.110e-03,8.368e-15
B-009,B4n,n,0.5,multigrid,64,2,32,16,1.4696,2589,9.976e-12,1.15422113438,0.000e+00,32.1097236655,33.700498564,4.720330e-02,,200,23.6318247635,2.516e-01,2.465e-04
B-009,B4n,n,1,multigrid,64,2,32,16,1.4696,18,5.764e-12,1.15422113438,0.000e+00,26.8559472114,28.1140957334,4.475152e-02,,2,26.8266429028,1.042e-03,1.146e-15
B-009,B4n,n,1.5,multigrid,64,2,32,16,1.4696,40,9.639e-12,1.15422113438,0.000e+00,23.8341879744,25.1327022453,5.166632e-02,,4,23.5000979879,1.329e-02,1.164e-14
B-009,B4n,n,2,multigrid,64,2,32,16,1.4696,47,7.946e-12,1.15422113438,0.000e+00,21.5866967543,22.9125967401,5.786773e-02,,4,20.904006321,2.980e-02,4.649e-15
B-009,B4n,n,3,multigrid,64,2,32,16,1.4696,55,6.850e-12,1.15422113438,0.000e+00,18.4139949738,19.7740676688,6.878062e-02,,4,17.2572920868,5.850e-02,8.249e-14
B-009,B4lh,K,0.1,multigrid,64,2,32,16,1.4696,36,6.586e-12,1.15422113438,0.000e+00,25.6143294671,26.6113436022,3.746576e-02,,4,25.583423978,1.161e-03,1.277e-15
B-009,B4lh,K,1,multigrid,64,2,32,16,1.4696,37,3.233e-12,1.15422113438,0.000e+00,18.6936791453,18.9261050349,1.228070e-02,,4,18.6451854375,2.562e-03,2.554e-15
B-009,B4lh,K,10,multigrid,64,2,32,16,1.4696,120,8.441e-12,1.15422113438,0.000e+00,7.8285984836,7.84671685563,2.309039e-03,,12,6.90249393528,1.180e-01,8.783e-13
B-009,B4lh,K,100,multigrid,64,2,32,16,1.4696,55,9.026e-12,1.15422113438,0.000e+00,3.39097256026,3.40025459797,2.729807e-03,,5,0.0753792153986,9.751e-01,5.784e-14
B-009,B3,Da,0.25,multigrid,64,2,64,0.25,23.5136,40,7.683e-12,1.15422114046,0.000e+00,4.58615850227,4.59143756196,1.149762e-03,,3,2.069196108,5.482e-01,2.498e-14
B-009,B3,Da,1,multigrid,64,2,64,1,11.7568,42,5.858e-12,1.15422114046,0.000e+00,7.29641283701,7.3135073854,2.337394e-03,,3,5.13880818038,2.950e-01,1.754e-14
B-009,B3,Da,4,multigrid,64,2,64,4,5.8784,45,9.472e-12,1.15422114046,0.000e+00,12.4878924339,12.5663986767,6.247314e-03,,4,11.0875785118,1.114e-01,1.998e-15
B-009,B3,Da,16,multigrid,64,2,64,16,2.9392,43,7.634e-12,1.15422114046,0.000e+00,22.4850742764,22.9125967401,1.865884e-02,,4,21.8066023469,2.961e-02,1.624e-15
B-009,B3,Da,64,multigrid,64,2,64,64,1.4696,45,6.713e-12,1.15422114046,0.000e+00,41.1144385065,43.4874144125,5.456696e-02,,4,40.8564445089,5.933e-03,1.332e-15
B-009,B4n,n,0.5,multigrid,64,2,64,16,2.9392,3084,9.990e-12,1.15422114046,0.000e+00,32.9607550507,33.700498564,2.195052e-02,,200,24.3679584652,2.550e-01,2.525e-04
B-009,B4n,n,1,multigrid,64,2,64,16,2.9392,20,4.263e-12,1.15422114046,0.000e+00,27.7408049821,28.1140957334,1.327771e-02,,2,27.7150579723,9.158e-04,1.193e-15
B-009,B4n,n,1.5,multigrid,64,2,64,16,2.9392,39,6.747e-12,1.15422114046,0.000e+00,24.7292819344,25.1327022453,1.605161e-02,,4,24.4008383041,1.307e-02,1.235e-15
B-009,B4n,n,2,multigrid,64,2,64,16,2.9392,43,7.634e-12,1.15422114046,0.000e+00,22.4850742764,22.9125967401,1.865884e-02,,4,21.8066023469,2.961e-02,1.624e-15
B-009,B4n,n,3,multigrid,64,2,64,16,2.9392,49,8.448e-12,1.15422114046,0.000e+00,19.3094953977,19.7740676688,2.349402e-02,,4,18.1547870631,5.840e-02,2.109e-14
B-009,B4lh,K,0.1,multigrid,64,2,64,16,2.9392,36,8.441e-12,1.15422114046,0.000e+00,26.325684231,26.6113436022,1.073450e-02,,4,26.2984253874,1.024e-03,7.772e-16
B-009,B4lh,K,1,multigrid,64,2,64,16,2.9392,38,8.960e-12,1.15422114046,0.000e+00,18.867042361,18.9261050349,3.120699e-03,,4,18.8232128526,2.316e-03,2.304e-15
B-009,B4lh,K,10,multigrid,64,2,64,16,2.9392,122,9.434e-12,1.15422114046,0.000e+00,7.84219702075,7.84671685563,5.760161e-04,,12,6.9129580803,1.184e-01,1.836e-13
B-009,B4lh,K,100,multigrid,64,2,64,16,2.9392,53,8.205e-12,1.15422114046,0.000e+00,3.39793020176,3.40025459797,6.835948e-04,,5,0.0753522454541,9.772e-01,4.041e-14
B-009,B3,Da,0.25,multigrid,64,2,128,0.25,47.0272,1200,2.127e-11,1.15422114091,0.000e+00,4.59013718205,4.59143756196,2.832185e-04,,3,2.07110090301,5.486e-01,1.110e-16
B-009,B3,Da,1,multigrid,64,2,128,1,23.5136,1200,1.858e-11,1.15422114091,0.000e+00,7.30917922227,7.3135073854,5.918040e-04,,3,5.14936581371,2.953e-01,1.110e-16
B-009,B3,Da,4,multigrid,64,2,128,4,11.7568,1200,2.346e-11,1.15422114091,0.000e+00,12.5459496494,12.5663986767,1.627278e-03,,3,11.1444996255,1.115e-01,5.995e-15
B-009,B3,Da,16,multigrid,64,2,128,16,5.8784,1600,2.270e-11,1.15422114091,0.000e+00,22.7949348741,22.9125967401,5.135248e-03,,4,22.117177311,2.958e-02,1.110e-16
B-009,B3,Da,64,multigrid,64,2,128,64,2.9392,1600,2.498e-11,1.15422114091,0.000e+00,42.7625674428,43.4874144125,1.666797e-02,,4,42.5063443037,5.892e-03,1.110e-16
B-009,B4n,n,0.5,multigrid,64,2,128,16,5.8784,80000,4.211e-11,1.15422114091,0.000e+00,33.2081085892,33.700498564,1.461076e-02,,200,24.5894831325,2.557e-01,2.485e-04
B-009,B4n,n,1,multigrid,64,2,128,16,5.8784,800,1.630e-11,1.15422114091,0.000e+00,28.0153076564,28.1140957334,3.513827e-03,,2,27.9904544756,8.840e-04,0.000e+00
B-009,B4n,n,1.5,multigrid,64,2,128,16,5.8784,1200,2.083e-11,1.15422114091,0.000e+00,25.0236560045,25.1327022453,4.338819e-03,,3,24.6964519683,1.302e-02,1.712e-13
B-009,B4n,n,2,multigrid,64,2,128,16,5.8784,1600,2.270e-11,1.15422114091,0.000e+00,22.7949348741,22.9125967401,5.135248e-03,,4,22.117177311,2.958e-02,1.110e-16
B-009,B4n,n,3,multigrid,64,2,128,16,5.8784,1600,2.771e-11,1.15422114091,0.000e+00,19.6423616404,19.7740676688,6.660543e-03,,4,18.4876199859,5.840e-02,1.110e-16
B-009,B4lh,K,0.1,multigrid,64,2,128,16,5.8784,1200,2.686e-11,1.15422114091,0.000e+00,26.5369057036,26.6113436022,2.797224e-03,,3,26.5105685523,9.897e-04,8.715e-15
B-009,B4lh,K,1,multigrid,64,2,128,16,5.8784,1200,2.183e-11,1.15422114091,0.000e+00,18.9113628565,18.9261050349,7.789336e-04,,3,18.8687435304,2.252e-03,1.860e-14
B-009,B4lh,K,10,multigrid,64,2,128,16,5.8784,4400,2.537e-11,1.15422114091,0.000e+00,7.84558105147,7.84671685563,1.447490e-04,,11,6.91559699704,1.185e-01,3.887e-13
B-009,B4lh,K,100,multigrid,64,2,128,16,5.8784,1600,2.268e-11,1.15422114091,0.000e+00,3.3996701635,3.40025459797,1.718796e-04,,4,0.0753454361503,9.777e-01,6.627e-13
B-009,B3,Da,0.25,multigrid,64,2,256,0.25,94.0544,1200,1.480e-10,1.15422114093,0.000e+00,4.59114661378,4.59143756196,6.336756e-05,,3,2.07158282127,5.488e-01,1.110e-16
B-009,B3,Da,1,multigrid,64,2,256,1,47.0272,1200,1.436e-10,1.15422114093,0.000e+00,7.31243902698,7.3135073854,1.460802e-04,,3,5.15205853987,2.954e-01,1.110e-16
