id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-015,A7,Pe_omega,0,multigrid,16,2,32,4,3.2,1,1.368e-12,1.25663705133,8.043e-09,4.84240303234,4.91214734277,1.419833e-02,,15.2128576698,15.4319660054,0.000e+00,0.000e+00
B-015,A7,Pe_omega,0,multigrid,16,2,64,4,6.4,1,3.155e-12,1.25663706098,3.632e-10,4.89306399219,4.91214734277,3.884930e-03,1.8698,15.3720138858,15.4319660054,0.000e+00,0.000e+00
B-015,A7,Pe_omega,0,multigrid,16,2,128,4,12.8,1,1.242e-11,1.25663706141,1.883e-11,4.90721658466,4.91214734277,1.003789e-03,1.9524,15.4164755716,15.4319660054,0.000e+00,0.000e+00
B-015,A7,Pe_omega,1,multigrid,16,2,32,4,3.2,13,8.091e-11,1.25663705133,8.043e-09,4.84332130528,4.91214734277,1.401140e-02,,15.2157425093,15.4319660054,0.000e+00,2.704e-03
B-015,A7,Pe_omega,1,multigrid,16,2,64,4,6.4,17,9.766e-11,1.25663706098,3.632e-10,4.89329485406,4.91214734277,3.837932e-03,1.8682,15.3727391598,15.4319660054,0.000e+00,5.899e-04
B-015,A7,Pe_omega,1,multigrid,16,2,128,4,12.8,16,2.340e-11,1.25663706141,1.883e-11,4.90727414588,4.91214734277,9.920706e-04,1.9518,15.4166564056,15.4319660054,0.000e+00,1.622e-04
B-015,A7,Pe_omega,10,multigrid,16,2,32,4,3.2,22,9.859e-11,1.25663705133,8.043e-09,4.89362956592,4.91214734277,3.769793e-03,,15.37379057,15.4319660054,0.000e+00,2.704e-02
B-015,A7,Pe_omega,10,multigrid,16,2,64,4,6.4,26,8.954e-11,1.25663706098,3.632e-10,4.90619080515,4.91214734277,1.212614e-03,1.6364,15.413252985,15.4319660054,0.000e+00,5.899e-03
B-015,A7,Pe_omega,10,multigrid,16,2,128,4,12.8,29,6.685e-11,1.25663706141,1.883e-11,4.91051359578,4.91214734277,3.325932e-04,1.8663,15.4268334376,15.4319660054,0.000e+00,1.622e-03
B-015,A7,Pe_omega,100,multigrid,16,2,32,4,3.2,45,8.231e-11,1.25663705133,8.043e-09,6.43981101274,4.91214734277,3.109971e-01,,20.2312628054,15.4319660054,0.000e+00,2.704e-01
B-015,A7,Pe_omega,100,multigrid,16,2,64,4,6.4,65,7.438e-11,1.25663706098,3.632e-10,5.34080201815,4.91214734277,8.726421e-02,1.8334,16.7786243784,15.4319660054,0.000e+00,5.899e-02
B-015,A7,Pe_omega,100,multigrid,16,2,128,4,12.8,91,8.874e-11,1.25663706141,1.883e-11,5.04185679263,4.91214734277,2.640585e-02,1.7245,15.8394602599,15.4319660054,0.000e+00,1.622e-02
B-015,A7,Pe_omega,1000,multigrid,16,2,32,4,3.2,57,9.186e-11,1.25663705133,8.043e-09,23.5286028127,4.91214734277,3.789881e+00,,73.917285151,15.4319660054,0.000e+00,2.704e+00
B-015,A7,Pe_omega,1000,multigrid,16,2,64,4,6.4,59,7.896e-11,1.25663706098,3.632e-10,15.3417513273,4.91214734277,2.123227e+00,0.8359,48.1975332456,15.4319660054,0.000e+00,5.899e-01
B-015,A7,Pe_omega,1000,multigrid,16,2,128,4,12.8,400,1.774e-10,1.25663706141,1.883e-11,8.07414982394,4.91214734277,6.437108e-01,1.7218,25.3656897704,15.4319660054,0.000e+00,1.622e-01
