id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-016,B7,Da_s,0.1,multigrid,8,3,16,0.1,3.2,44,8.100e-11,0.502233497742,8.382e-04,0.180917265441,0.181818181818,4.955040e-03,,0.904586327206,0.909090909091,4.955e-03,4.955e-03
B-016,B7,Da_s,1,multigrid,8,3,16,1,3.2,19,8.714e-11,0.502233497742,8.382e-04,0.984824890627,1,1.517511e-02,,0.492412445314,0.5,1.518e-02,1.518e-02
B-016,B7,Da_s,10,multigrid,8,3,16,10,3.2,27,3.613e-11,0.502233497742,8.382e-04,1.77156766658,1.81818181818,2.563778e-02,,0.0885783833288,0.0909090909091,2.564e-02,2.564e-02
B-016,B7,Da_s,100,multigrid,8,3,16,100,3.2,29,3.697e-11,0.502233497742,8.382e-04,1.92479752392,1.9801980198,2.797725e-02,,0.00962398761962,0.00990099009901,2.798e-02,2.798e-02
B-016,B7,Da_s,1000,multigrid,8,3,16,1000,3.2,22,5.977e-11,0.502233497742,8.382e-04,1.94157555006,1.998001998,2.824144e-02,,0.00097078777503,0.000999000999001,2.824e-02,2.824e-02
B-016,B7b,Da,0,multigrid,8,3,16,0,inf,31,6.468e-11,0.502233497742,8.382e-04,1.98584825134,2,7.075874e-03,,1.03537937166,1,3.538e-02,1.000e+00
B-016,B7b,Da,1,multigrid,8,3,16,1,3.2,19,6.834e-11,0.502233497742,8.382e-04,3.96529671416,4,8.675821e-03,,1.08675821461,1,8.676e-02,1.000e+00
B-016,B7b,Da,4,multigrid,8,3,16,4,1.6,25,5.345e-11,0.502233497742,8.382e-04,5.93435727661,6,1.094045e-02,,1.16410680847,1,1.641e-01,1.000e+00
B-016,B7b,Da,10,multigrid,8,3,16,10,1.01193,17,9.436e-11,0.502233497742,8.382e-04,8.21483840829,8.32455532034,1.317991e-02,,1.27429228012,1,2.743e-01,1.000e+00
B-016,B7b,Da,100,multigrid,8,3,16,100,0.32,15,9.254e-11,0.502233497742,8.382e-04,21.5435912018,22,2.074585e-02,,2.14102199555,1,1.141e+00,1.000e+00
B-016,B7,Da_s,0.1,multigrid,8,3,32,0.1,6.4,81,9.980e-11,0.503545796343,1.773e-03,0.181623090758,0.181818181818,1.073001e-03,2.2072,0.90811545379,0.909090909091,1.073e-03,1.073e-03
B-016,B7,Da_s,1,multigrid,8,3,32,1,6.4,19,3.552e-11,0.503545796343,1.773e-03,0.995606872842,1,4.393127e-03,1.7884,0.497803436421,0.5,4.393e-03,4.393e-03
B-016,B7,Da_s,10,multigrid,8,3,32,10,6.4,25,8.539e-11,0.503545796343,1.773e-03,1.80349744819,1.81818181818,8.076403e-03,1.6665,0.0901748724094,0.0909090909091,8.076e-03,8.076e-03
B-016,B7,Da_s,100,multigrid,8,3,32,100,6.4,26,6.672e-11,0.503545796343,1.773e-03,1.9625054886,1.9801980198,8.934728e-03,1.6468,0.00981252744301,0.00990099009901,8.935e-03,8.935e-03
B-016,B7,Da_s,1000,multigrid,8,3,32,1000,6.4,26,4.931e-11,0.503545796343,1.773e-03,1.97995569684,1.998001998,9.032174e-03,1.6447,0.000989977848418,0.000999000999001,9.032e-03,9.032e-03
B-016,B7b,Da,0,multigrid,8,3,32,0,inf,45,7.397e-11,0.503545796343,1.773e-03,1.99649255391,2,1.753723e-03,2.0125,1.00876861523,1,8.769e-03,1.000e+00
B-016,B7b,Da,1,multigrid,8,3,32,1,6.4,36,9.078e-11,0.503545796343,1.773e-03,3.99157625362,4,2.105937e-03,2.0425,1.02105936595,1,2.106e-02,1.000e+00
B-016,B7b,Da,4,multigrid,8,3,32,4,3.2,44,7.357e-11,0.503545796343,1.773e-03,5.98382341413,6,2.696098e-03,2.0207,1.04044146467,1,4.044e-02,1.000e+00
B-016,B7b,Da,10,multigrid,8,3,32,10,2.02386,39,8.225e-11,0.503545796343,1.773e-03,8.29632462935,8.32455532034,3.391255e-03,1.9584,1.07057672746,1,7.058e-02,1.000e+00
B-016,B7b,Da,100,multigrid,8,3,32,100,0.64,23,8.117e-11,0.503545796343,1.773e-03,21.8660140971,22,6.090268e-03,1.7682,1.33496475714,1,3.350e-01,1.000e+00
B-016,B7,Da_s,0.1,multigrid,8,3,64,0.1,12.8,168,9.115e-11,0.502682190257,5.444e-05,0.181775948099,0.181818181818,2.322855e-04,2.2077,0.908879740497,0.909090909091,2.323e-04,2.323e-04
B-016,B7,Da_s,1,multigrid,8,3,64,1,12.8,34,8.300e-11,0.502682190257,5.444e-05,0.999045019892,1,9.549801e-04,2.2017,0.499522509946,0.5,9.550e-04,9.550e-04
