id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-013,C3,phi,0.1,multigrid,64,2,32,0.6,90.784,274,9.496e-12,1.78253966987,0.000e+00,1.01421973586,1.01412426967,9.413658e-05,,0.1,1.01421973592,5.542e-11,2.000e+01
B-013,C3,phi,0.2,multigrid,64,2,32,0.6,45.392,286,9.431e-12,1.78253966987,0.000e+00,1.06208738054,1.06167350289,3.898352e-04,,0.2,1.06208738056,1.212e-11,2.400e+01
B-013,C3,phi,0.3,multigrid,64,2,32,0.6,30.2613,349,9.879e-12,1.78253966987,0.000e+00,1.16706725907,1.16594962228,9.585635e-04,,0.3,1.16706725908,9.085e-12,3.100e+01
B-013,C3,phi,0.4,multigrid,64,2,32,0.6,22.696,638,9.925e-12,1.78253966987,0.000e+00,1.44516196688,1.44168516532,2.411623e-03,,0.4,1.44516196688,5.404e-12,5.700e+01
B-013,C3,phi,0.1,multigrid,64,2,64,0.6,181.568,330,9.785e-12,1.78253967152,0.000e+00,1.01414870713,1.01412426967,2.409710e-05,,0.1,1.01414870721,8.022e-11,2.000e+01
B-013,C3,phi,0.2,multigrid,64,2,64,0.6,90.784,428,9.757e-12,1.78253967152,0.000e+00,1.06177892973,1.06167350289,9.930250e-05,,0.2,1.06177892974,1.318e-11,2.400e+01
B-013,C3,phi,0.3,multigrid,64,2,64,0.6,60.5227,441,9.969e-12,1.78253967152,0.000e+00,1.16623155432,1.16594962228,2.418047e-04,,0.3,1.16623155433,8.964e-12,3.100e+01
B-013,C3,phi,0.4,multigrid,64,2,64,0.6,45.392,693,9.974e-12,1.78253967152,0.000e+00,1.44254453492,1.44168516532,5.960869e-04,,0.4,1.44254453492,4.834e-12,5.700e+01
B-013,C3,phi,0.1,multigrid,64,2,128,0.6,363.136,8000,3.869e-11,1.78253967164,0.000e+00,1.0141301712,1.01412426967,5.819328e-06,,0.1,1.01413017127,6.952e-11,2.000e+01
B-013,C3,phi,0.2,multigrid,64,2,128,0.6,181.568,9600,4.266e-11,1.78253967164,0.000e+00,1.06169885339,1.06167350289,2.387787e-05,,0.2,1.0616988534,1.250e-11,2.400e+01
B-013,C3,phi,0.3,multigrid,64,2,128,0.6,121.045,12400,5.941e-11,1.78253967164,0.000e+00,1.1660168438,1.16594962228,5.765389e-05,,0.3,1.16601684381,7.911e-12,3.100e+01
B-013,C3,phi,0.4,multigrid,64,2,128,0.6,90.784,22800,6.573e-11,1.78253967164,0.000e+00,1.44188697171,1.44168516532,1.399795e-04,,0.4,1.44188697172,4.353e-12,5.700e+01
B-013,C3,phi,0.1,multigrid,64,2,256,0.6,726.272,8000,2.647e-10,1.78253967165,0.000e+00,1.01412570961,1.01412426967,1.419879e-06,,0.1,1.01412570968,6.942e-11,2.000e+01
B-013,C3,phi,0.2,multigrid,64,2,256,0.6,363.136,9600,1.811e-10,1.78253967165,0.000e+00,1.06167966391,1.06167350289,5.803117e-06,,0.2,1.06167966392,1.250e-11,2.400e+01
B-013,C3,phi,0.3,multigrid,64,2,256,0.6,242.091,12400,2.064e-10,1.78253967165,0.000e+00,1.16596582195,1.16594962228,1.389397e-05,,0.3,1.16596582196,7.893e-12,3.100e+01
B-013,C3,phi,0.4,multigrid,64,2,256,0.6,181.568,22800,3.217e-10,1.78253967165,0.000e+00,1.44173288444,1.44168516532,3.309954e-05,,0.4,1.44173288444,4.349e-12,5.700e+01
