henry,damkohler,uptake
1.0,0.25,0.7618350013822183
1.0,1.0,2.804750874993502
1.0,4.0,8.768494957283433
1.0,16.0,21.702690328027238
1.0,64.0,47.010063293576145
2.0,0.25,1.5236700027644365
2.0,1.0,5.609501749987004
2.0,4.0,17.536989914566867
2.0,16.0,43.405380656054476
2.0,64.0,94.02012658715229
4.0,0.25,3.047340005528873
4.0,1.0,11.219003499974008
4.0,4.0,35.073979829133734
4.0,16.0,86.81076131210895
4.0,64.0,188.04025317430458
