fourier,mean_concentration
0.001,0.8959525530308339
0.01,0.6914862498713459
0.05,0.39306024332116807
0.1,0.2295212619740368
0.2,0.0845044338923179
0.5,0.004372141211974755
1.0,3.1443926687540916e-05
sherwood_asymptote,6.579736267392906
