record,time_or_value,x_or_front,temperature,concentration
lambda,0.8728603322094289,,,
C_gamma,2.355758984982592,,,
T_gamma,-1.177879492491296,,,
front_position,1.0,0.39035500753666647,,
profile,1.0,0.0,-1.5,0.47115179699651843
profile,1.0,0.19517750376833323,-1.3374083577668388,0.47115179699651843
profile,1.0,0.39035500753666647,-1.177879492491296,0.47115179699651843
profile,1.0,0.44035500753666645,-1.147570126735939,2.0229166908830445
profile,1.0,0.6403550075366664,-1.0299780923166448,1.2677751651283224
profile,1.0,1.3903550075366664,-0.665210184918624,1.0000686561585308
profile,1.0,3.3903550075366664,-0.31852668900433156,1.0
front_position,4.0,0.7807100150733329,,
profile,4.0,0.0,-1.5,0.47115179699651843
profile,4.0,0.39035500753666647,-1.3374083577668388,0.47115179699651843
profile,4.0,0.7807100150733329,-1.177879492491296,0.47115179699651843
profile,4.0,0.830710015073333,-1.1626854696426001,2.1807095977022257
profile,4.0,1.0307100150733328,-1.1027387058221234,1.644405122889141
profile,4.0,1.7807100150733328,-0.89342552219565,1.0304156592019147
profile,4.0,3.780710015073333,-0.5034201957861979,1.0000000141249603
front_position,10.0,1.2344109198680597,,
profile,10.0,0.0,-1.5,0.47115179699651843
profile,10.0,0.6172054599340299,-1.3374083577668388,0.47115179699651843
profile,10.0,1.2344109198680597,-1.177879492491296,0.47115179699651843
profile,10.0,1.2844109198680598,-1.1682610335127912,2.2430031700816855
profile,10.0,1.4844109198680597,-1.1301064486518286,1.860115564956385
profile,10.0,2.2344109198680595,-0.9925564070267456,1.159006191700111
profile,10.0,4.2344109198680595,-0.6855997764465895,1.000143135033325
