time,interface_displacement,eta,distance_from_interface,concentration
1.0,0.2973540193587952,0,0.0,1.0
1.0,0.2973540193587952,0.25,0.15811388300841897,0.7236736098317631
1.0,0.2973540193587952,0.5,0.31622776601683794,0.4795001221869535
1.0,0.2973540193587952,1.0,0.6324555320336759,0.15729920705028513
1.0,0.2973540193587952,2.0,1.2649110640673518,0.004677734981047265
1.0,0.2973540193587952,4.0,2.5298221281347035,1.541725790028002e-08
10.0,0.9403159725795939,0,0.0,1.0
10.0,0.9403159725795939,0.25,0.5,0.7236736098317631
10.0,0.9403159725795939,0.5,1.0,0.4795001221869535
10.0,0.9403159725795939,1.0,2.0,0.15729920705028513
10.0,0.9403159725795939,2.0,4.0,0.004677734981047265
10.0,0.9403159725795939,4.0,8.0,1.541725790028002e-08
50.0,2.1026104350168002,0,0.0,1.0
50.0,2.1026104350168002,0.25,1.118033988749895,0.7236736098317631
50.0,2.1026104350168002,0.5,2.23606797749979,0.4795001221869535
50.0,2.1026104350168002,1.0,4.47213595499958,0.15729920705028513
50.0,2.1026104350168002,2.0,8.94427190999916,0.004677734981047265
50.0,2.1026104350168002,4.0,17.88854381999832,1.541725790028002e-08
175.0,3.93362393284429,0,0.0,1.0
175.0,3.93362393284429,0.25,2.091650066335189,0.7236736098317631
175.0,3.93362393284429,0.5,4.183300132670378,0.4795001221869535
175.0,3.93362393284429,1.0,8.366600265340756,0.15729920705028513
175.0,3.93362393284429,2.0,16.73320053068151,0.004677734981047265
175.0,3.93362393284429,4.0,33.46640106136302,1.541725790028002e-08
