surface_damkohler,surface_concentration,sherwood
0.01,0.9900990099009901,0.019801980198019802
0.1,0.9090909090909091,0.18181818181818182
1.0,0.5,1.0
10.0,0.09090909090909091,1.8181818181818181
100.0,0.009900990099009901,1.9801980198019802
