time,sigma_xx,sigma_yy,sigma_xy,shear_dispersion_term
0.0,0.0025000000000000005,0.0025000000000000005,0.0,0.0
0.25,0.003166666666666667,0.0030000000000000005,0.0006875000000000002,1.0416666666666666e-05
0.5,0.004208333333333334,0.0035000000000000005,0.0015000000000000002,8.333333333333333e-05
1.0,0.007666666666666667,0.0045000000000000005,0.0035000000000000005,0.0006666666666666666
2.0,0.021833333333333337,0.006500000000000001,0.009000000000000001,0.005333333333333333
