damkohler,decay_rate,decay_shift,large_peclet_limit
0.0,1.5149227142112407,0.0,0.0
1.0,1.6375843678515318,0.12266165364029114,0.2
10.0,2.6107342330715415,1.0958115188603008,2.0
100.0,8.275880678677236,6.760957964465995,20.0
