time,r_over_R,r,bubble_radius,phase,temperature
0.152088195917732,0,0.0,0.0010000000000000013,vapor,373.0
0.152088195917732,0.5,0.0005000000000000007,0.0010000000000000013,vapor,373.0
0.152088195917732,1.0,0.0010000000000000013,0.0010000000000000013,vapor,373.0
0.152088195917732,1.05,0.0010500000000000015,0.0010000000000000013,liquid,373.3387229857647
0.152088195917732,1.25,0.0012500000000000015,0.0010000000000000013,liquid,373.9444091990819
0.152088195917732,1.5,0.001500000000000002,0.0010000000000000013,liquid,373.98890064459476
0.152088195917732,2.0,0.0020000000000000026,0.0010000000000000013,liquid,373.9890966117632
0.152088195917732,3.0,0.003000000000000004,0.0010000000000000013,liquid,373.9890966117742
0.152088195917732,4.0,0.004000000000000005,0.0010000000000000013,liquid,373.9890966117742
0.25,0,0.0,0.0012821010332666417,vapor,373.0
0.25,0.5,0.0006410505166333209,0.0012821010332666417,vapor,373.0
0.25,1.0,0.0012821010332666417,0.0012821010332666417,vapor,373.0
0.25,1.05,0.0013462060849299738,0.0012821010332666417,liquid,373.3387229857647
0.25,1.25,0.0016026262915833022,0.0012821010332666417,liquid,373.9444091990819
0.25,1.5,0.0019231515498999625,0.0012821010332666417,liquid,373.98890064459476
0.25,2.0,0.0025642020665332835,0.0012821010332666417,liquid,373.9890966117632
0.25,3.0,0.003846303099799925,0.0012821010332666417,liquid,373.9890966117742
0.25,4.0,0.005128404133066567,0.0012821010332666417,liquid,373.9890966117742
0.5,0,0.0,0.0018131646695782435,vapor,373.0
0.5,0.5,0.0009065823347891217,0.0018131646695782435,vapor,373.0
0.5,1.0,0.0018131646695782435,0.0018131646695782435,vapor,373.0
0.5,1.05,0.0019038229030571556,0.0018131646695782435,liquid,373.3387229857647
0.5,1.25,0.002266455836972804,0.0018131646695782435,liquid,373.9444091990819
0.5,1.5,0.002719747004367365,0.0018131646695782435,liquid,373.98890064459476
0.5,2.0,0.003626329339156487,0.0018131646695782435,liquid,373.9890966117632
0.5,3.0,0.00543949400873473,0.0018131646695782435,liquid,373.9890966117742
0.5,4.0,0.007252658678312974,0.0018131646695782435,liquid,373.9890966117742
1.0,0,0.0,0.0025642020665332835,vapor,373.0
1.0,0.5,0.0012821010332666417,0.0025642020665332835,vapor,373.0
1.0,1.0,0.0025642020665332835,0.0025642020665332835,vapor,373.0
1.0,1.05,0.0026924121698599477,0.0025642020665332835,liquid,373.3387229857647
1.0,1.25,0.0032052525831666044,0.0025642020665332835,liquid,373.9444091990819
1.0,1.5,0.003846303099799925,0.0025642020665332835,liquid,373.98890064459476
1.0,2.0,0.005128404133066567,0.0025642020665332835,liquid,373.9890966117632
1.0,3.0,0.00769260619959985,0.0025642020665332835,liquid,373.9890966117742
1.0,4.0,0.010256808266133134,0.0025642020665332835,liquid,373.9890966117742
